TimeStamp	FrameNumber	LHEAD.PosX	LHEAD.PosY	LHEAD.PosZ	THEAD.PosX	THEAD.PosY	THEAD.PosZ	RHEAD.PosX	RHEAD.PosY	RHEAD.PosZ	FHEAD.PosX	FHEAD.PosY	FHEAD.PosZ	C7.PosX	C7.PosY	C7.PosZ	T10.PosX	T10.PosY	T10.PosZ	SACR.PosX	SACR.PosY	SACR.PosZ	NAVE.PosX	NAVE.PosY	NAVE.PosZ	XYPH.PosX	XYPH.PosY	XYPH.PosZ	STRN.PosX	STRN.PosY	STRN.PosZ	BBAC.PosX	BBAC.PosY	BBAC.PosZ	LSHO.PosX	LSHO.PosY	LSHO.PosZ	LDELT.PosX	LDELT.PosY	LDELT.PosZ	LLEE.PosX	LLEE.PosY	LLEE.PosZ	LMEE.PosX	LMEE.PosY	LMEE.PosZ	LFRM.PosX	LFRM.PosY	LFRM.PosZ	LMW.PosX	LMW.PosY	LMW.PosZ	LLW.PosX	LLW.PosY	LLW.PosZ	LFIN.PosX	LFIN.PosY	LFIN.PosZ	RSHO.PosX	RSHO.PosY	RSHO.PosZ	RDELT.PosX	RDELT.PosY	RDELT.PosZ	RLEE.PosX	RLEE.PosY	RLEE.PosZ	RMEE.PosX	RMEE.PosY	RMEE.PosZ	RFRM.PosX	RFRM.PosY	RFRM.PosZ	RMW.PosX	RMW.PosY	RMW.PosZ	RLW.PosX	RLW.PosY	RLW.PosZ	RFIN.PosX	RFIN.PosY	RFIN.PosZ	LASIS.PosX	LASIS.PosY	LASIS.PosZ	RASIS.PosX	RASIS.PosY	RASIS.PosZ	LPSIS.PosX	LPSIS.PosY	LPSIS.PosZ	RPSIS.PosX	RPSIS.PosY	RPSIS.PosZ	LGTRO.PosX	LGTRO.PosY	LGTRO.PosZ	FLTHI.PosX	FLTHI.PosY	FLTHI.PosZ	LLEK.PosX	LLEK.PosY	LLEK.PosZ	LATI.PosX	LATI.PosY	LATI.PosZ	LLM.PosX	LLM.PosY	LLM.PosZ	LHEE.PosX	LHEE.PosY	LHEE.PosZ	LTOE.PosX	LTOE.PosY	LTOE.PosZ	LMT5.PosX	LMT5.PosY	LMT5.PosZ	RGTRO.PosX	RGTRO.PosY	RGTRO.PosZ	FRTHI.PosX	FRTHI.PosY	FRTHI.PosZ	RLEK.PosX	RLEK.PosY	RLEK.PosZ	RATI.PosX	RATI.PosY	RATI.PosZ	RLM.PosX	RLM.PosY	RLM.PosZ	RHEE.PosX	RHEE.PosY	RHEE.PosZ	RTOE.PosX	RTOE.PosY	RTOE.PosZ	RMT5.PosX	RMT5.PosY	RMT5.PosZ	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ
0.00000	    1	0.67567	1.77685	0.30084	0.57628	1.86752	0.33303	0.48212	1.78445	0.27811	0.59800	1.79601	0.39387	0.58575	1.59973	0.21228	0.56687	1.26223	0.20403	0.55567	1.09124	0.19504	0.56364	1.14214	0.43860	0.56880	1.33000	0.43359	0.56881	1.49011	0.40011	0.48861	1.40960	0.15020	0.74928	1.56954	0.26874	0.85264	1.47623	0.24376	0.99154	1.33058	0.28673	0.93415	1.28346	0.30358	1.06852	1.28240	0.30309	1.19846	1.16408	0.34485	1.18454	1.16742	0.42343	1.26751	1.13157	0.37961	0.39577	1.56652	0.23215	0.30171	1.47733	0.19871	0.15713	1.34463	0.21348	0.20907	1.29495	0.24246	0.01135	1.24574	0.22687	-0.07681	1.18846	0.24097	-0.06382	1.18680	0.31812	-0.14407	1.16401	0.27454	0.68542	1.06156	0.38821	0.42843	1.05716	0.38026	0.60713	1.11192	0.20562	0.51623	1.11294	0.20546	0.74731	0.99203	0.32418	0.74227	0.76144	0.31654	0.71123	0.56492	0.28706	0.71795	0.27443	0.22123	0.70431	0.10270	0.22501	0.64926	0.05128	0.15410	0.65981	0.04463	0.44679	0.75163	0.03326	0.34020	0.37275	0.98681	0.29619	0.38312	0.69190	0.28906	0.40805	0.55307	0.27711	0.38597	0.40599	0.23791	0.40824	0.10530	0.21964	0.47094	0.05667	0.14607	0.42646	0.04734	0.44115	0.34951	0.02891	0.31944	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01000	    2	0.67565	1.77685	0.30075	0.57630	1.86751	0.33301	0.48214	1.78444	0.27808	0.59800	1.79599	0.39383	0.58573	1.59971	0.21214	0.56689	1.26221	0.20398	0.55565	1.09125	0.19500	0.56359	1.14217	0.43858	0.56876	1.33003	0.43349	0.56875	1.49011	0.40004	0.48859	1.40959	0.15011	0.74922	1.56951	0.26858	0.85260	1.47621	0.24371	0.99146	1.33049	0.28666	0.93410	1.28341	0.30349	1.06834	1.28230	0.30306	1.19831	1.16395	0.34484	1.18431	1.16729	0.42343	1.26732	1.13141	0.37963	0.39583	1.56642	0.23191	0.30172	1.47723	0.19863	0.15715	1.34440	0.21355	0.20915	1.29478	0.24257	0.01151	1.24543	0.22694	-0.07668	1.18810	0.24106	-0.06368	1.18647	0.31816	-0.14385	1.16350	0.27476	0.68537	1.06158	0.38818	0.42839	1.05718	0.38024	0.60710	1.11191	0.20559	0.51619	1.11293	0.20541	0.74731	0.99206	0.32417	0.74229	0.76147	0.31655	0.71123	0.56494	0.28706	0.71798	0.27444	0.22126	0.70444	0.10263	0.22502	0.64924	0.05127	0.15411	0.65983	0.04465	0.44680	0.75161	0.03326	0.34021	0.37274	0.98682	0.29618	0.38313	0.69191	0.28906	0.40802	0.55307	0.27709	0.38595	0.40599	0.23791	0.40823	0.10530	0.21964	0.47121	0.05694	0.14594	0.42642	0.04730	0.44115	0.34949	0.02891	0.31945	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02000	    3	0.67563	1.77685	0.30063	0.57630	1.86750	0.33297	0.48224	1.78445	0.27791	0.59802	1.79594	0.39377	0.58577	1.59971	0.21203	0.56688	1.26224	0.20388	0.55562	1.09122	0.19496	0.56353	1.14219	0.43855	0.56868	1.33002	0.43345	0.56868	1.49013	0.39996	0.48856	1.40959	0.15002	0.74917	1.56953	0.26850	0.85257	1.47615	0.24364	0.99140	1.33042	0.28667	0.93397	1.28339	0.30339	1.06826	1.28221	0.30307	1.19815	1.16381	0.34486	1.18411	1.16721	0.42347	1.26710	1.13127	0.37962	0.39573	1.56638	0.23177	0.30167	1.47707	0.19860	0.15721	1.34421	0.21356	0.20918	1.29457	0.24266	0.01162	1.24517	0.22700	-0.07652	1.18783	0.24123	-0.06366	1.18615	0.31828	-0.14365	1.16309	0.27494	0.68530	1.06163	0.38812	0.42833	1.05718	0.38017	0.60704	1.11190	0.20553	0.51614	1.11293	0.20536	0.74723	0.99206	0.32410	0.74216	0.76143	0.31648	0.71115	0.56494	0.28705	0.71796	0.27440	0.22126	0.70443	0.10263	0.22502	0.64925	0.05128	0.15409	0.65982	0.04464	0.44679	0.75162	0.03327	0.34020	0.37266	0.98683	0.29613	0.38306	0.69192	0.28904	0.40800	0.55309	0.27706	0.38594	0.40600	0.23791	0.40822	0.10530	0.21966	0.47122	0.05695	0.14592	0.42643	0.04730	0.44115	0.34951	0.02895	0.31944	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03000	    4	0.67562	1.77685	0.30056	0.57630	1.86748	0.33293	0.48228	1.78445	0.27780	0.59805	1.79592	0.39371	0.58572	1.59970	0.21191	0.56686	1.26222	0.20380	0.55560	1.09123	0.19492	0.56354	1.14220	0.43852	0.56865	1.33004	0.43341	0.56861	1.49012	0.39987	0.48858	1.40958	0.14992	0.74915	1.56951	0.26842	0.85252	1.47613	0.24353	0.99132	1.33037	0.28663	0.93387	1.28335	0.30328	1.06812	1.28211	0.30308	1.19799	1.16368	0.34487	1.18391	1.16723	0.42351	1.26695	1.13112	0.37964	0.39567	1.56635	0.23171	0.30154	1.47684	0.19873	0.15732	1.34400	0.21354	0.20927	1.29437	0.24270	0.01173	1.24489	0.22710	-0.07639	1.18749	0.24142	-0.06349	1.18584	0.31847	-0.14348	1.16275	0.27504	0.68525	1.06162	0.38811	0.42829	1.05720	0.38014	0.60704	1.11187	0.20548	0.51614	1.11293	0.20532	0.74721	0.99206	0.32409	0.74219	0.76146	0.31648	0.71114	0.56495	0.28708	0.71794	0.27439	0.22125	0.70444	0.10264	0.22503	0.64926	0.05128	0.15413	0.65981	0.04463	0.44680	0.75162	0.03326	0.34019	0.37267	0.98683	0.29609	0.38300	0.69191	0.28900	0.40801	0.55306	0.27705	0.38593	0.40598	0.23789	0.40822	0.10531	0.21966	0.47122	0.05695	0.14592	0.42644	0.04732	0.44117	0.34946	0.02892	0.31944	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04000	    5	0.67561	1.77681	0.30047	0.57632	1.86747	0.33289	0.48208	1.78451	0.27803	0.59808	1.79587	0.39360	0.58551	1.59967	0.21180	0.56687	1.26221	0.20372	0.55556	1.09121	0.19487	0.56347	1.14223	0.43846	0.56863	1.33008	0.43335	0.56864	1.49015	0.39978	0.48853	1.40954	0.14984	0.74915	1.56954	0.26833	0.85247	1.47609	0.24345	0.99115	1.33028	0.28663	0.93377	1.28331	0.30315	1.06803	1.28204	0.30307	1.19783	1.16357	0.34488	1.18393	1.16707	0.42354	1.26678	1.13100	0.37962	0.39555	1.56634	0.23164	0.30154	1.47671	0.19866	0.15729	1.34377	0.21364	0.20931	1.29417	0.24277	0.01190	1.24464	0.22716	-0.07616	1.18715	0.24154	-0.06325	1.18553	0.31864	-0.14324	1.16236	0.27517	0.68526	1.06162	0.38806	0.42822	1.05720	0.38009	0.60704	1.11188	0.20543	0.51611	1.11293	0.20525	0.74716	0.99208	0.32403	0.74222	0.76148	0.31649	0.71113	0.56495	0.28709	0.71794	0.27441	0.22132	0.70443	0.10263	0.22503	0.64929	0.05125	0.15410	0.65981	0.04462	0.44680	0.75162	0.03326	0.34017	0.37262	0.98683	0.29605	0.38302	0.69192	0.28900	0.40799	0.55305	0.27704	0.38595	0.40597	0.23787	0.40822	0.10530	0.21964	0.47121	0.05695	0.14592	0.42639	0.04727	0.44115	0.34944	0.02892	0.31943	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05000	    6	0.67554	1.77679	0.30035	0.57630	1.86747	0.33285	0.48212	1.78454	0.27792	0.59809	1.79586	0.39355	0.58549	1.59967	0.21172	0.56681	1.26224	0.20363	0.55554	1.09120	0.19484	0.56344	1.14223	0.43837	0.56857	1.33012	0.43328	0.56859	1.49016	0.39970	0.48849	1.40953	0.14973	0.74904	1.56949	0.26819	0.85242	1.47604	0.24339	0.99107	1.33021	0.28655	0.93368	1.28332	0.30307	1.06789	1.28198	0.30307	1.19768	1.16346	0.34489	1.18377	1.16699	0.42354	1.26663	1.13088	0.37964	0.39555	1.56621	0.23135	0.30154	1.47662	0.19859	0.15742	1.34360	0.21357	0.20938	1.29402	0.24280	0.01203	1.24440	0.22724	-0.07602	1.18685	0.24169	-0.06303	1.18524	0.31874	-0.14311	1.16201	0.27535	0.68520	1.06164	0.38803	0.42820	1.05722	0.38006	0.60698	1.11189	0.20540	0.51610	1.11294	0.20521	0.74716	0.99206	0.32404	0.74211	0.76145	0.31644	0.71110	0.56494	0.28711	0.71792	0.27440	0.22128	0.70442	0.10265	0.22505	0.64927	0.05128	0.15412	0.65982	0.04464	0.44681	0.75163	0.03326	0.34021	0.37262	0.98684	0.29605	0.38306	0.69193	0.28900	0.40796	0.55305	0.27701	0.38588	0.40598	0.23784	0.40824	0.10531	0.21963	0.47121	0.05694	0.14592	0.42641	0.04728	0.44114	0.34948	0.02893	0.31945	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06000	    7	0.67550	1.77679	0.30024	0.57630	1.86747	0.33281	0.48195	1.78457	0.27803	0.59807	1.79580	0.39345	0.58407	1.59924	0.21172	0.56682	1.26222	0.20360	0.55550	1.09118	0.19478	0.56343	1.14229	0.43832	0.56856	1.33016	0.43321	0.56851	1.49020	0.39962	0.48847	1.40947	0.14965	0.74900	1.56951	0.26809	0.85240	1.47598	0.24331	0.99097	1.33017	0.28657	0.93355	1.28326	0.30303	1.06782	1.28191	0.30307	1.19758	1.16337	0.34491	1.18372	1.16693	0.42355	1.26650	1.13077	0.37962	0.39543	1.56620	0.23129	0.30156	1.47654	0.19845	0.15744	1.34342	0.21360	0.20945	1.29386	0.24279	0.01212	1.24410	0.22732	-0.07585	1.18660	0.24178	-0.06300	1.18497	0.31888	-0.14300	1.16180	0.27561	0.68520	1.06167	0.38803	0.42821	1.05724	0.38002	0.60698	1.11188	0.20536	0.51609	1.11292	0.20514	0.74713	0.99209	0.32399	0.74208	0.76145	0.31647	0.71108	0.56492	0.28711	0.71787	0.27442	0.22130	0.70443	0.10265	0.22503	0.64925	0.05129	0.15410	0.65979	0.04464	0.44682	0.75162	0.03326	0.34020	0.37259	0.98684	0.29602	0.38312	0.69190	0.28897	0.40793	0.55308	0.27699	0.38586	0.40598	0.23781	0.40822	0.10531	0.21964	0.47119	0.05694	0.14593	0.42643	0.04728	0.44112	0.34947	0.02893	0.31944	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07000	    8	0.67549	1.77679	0.30016	0.57631	1.86745	0.33276	0.48174	1.78462	0.27826	0.59805	1.79577	0.39341	0.58309	1.59891	0.21213	0.56681	1.26218	0.20353	0.55549	1.09118	0.19475	0.56343	1.14229	0.43829	0.56857	1.33018	0.43316	0.56845	1.49022	0.39954	0.48847	1.40944	0.14956	0.74898	1.56947	0.26797	0.85233	1.47595	0.24327	0.99091	1.33011	0.28653	0.93348	1.28320	0.30294	1.06772	1.28183	0.30304	1.19745	1.16330	0.34487	1.18362	1.16689	0.42354	1.26641	1.13070	0.37967	0.39529	1.56626	0.23130	0.30149	1.47645	0.19844	0.15742	1.34321	0.21369	0.20954	1.29371	0.24280	0.01223	1.24386	0.22742	-0.07583	1.18632	0.24201	-0.06280	1.18475	0.31899	-0.14270	1.16150	0.27570	0.68518	1.06167	0.38798	0.42819	1.05725	0.37999	0.60695	1.11186	0.20532	0.51605	1.11292	0.20510	0.74711	0.99207	0.32398	0.74211	0.76145	0.31648	0.71108	0.56495	0.28716	0.71788	0.27444	0.22132	0.70445	0.10264	0.22506	0.64925	0.05129	0.15410	0.65983	0.04461	0.44681	0.75162	0.03326	0.34018	0.37257	0.98686	0.29598	0.38315	0.69186	0.28894	0.40794	0.55307	0.27697	0.38590	0.40597	0.23780	0.40819	0.10529	0.21963	0.47120	0.05694	0.14594	0.42634	0.04724	0.44117	0.34946	0.02892	0.31944	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08000	    9	0.67542	1.77677	0.30003	0.57625	1.86743	0.33268	0.48163	1.78465	0.27831	0.59804	1.79574	0.39327	0.58308	1.59893	0.21205	0.56676	1.26218	0.20349	0.55547	1.09118	0.19471	0.56342	1.14232	0.43824	0.56858	1.33021	0.43312	0.56846	1.49024	0.39949	0.48844	1.40942	0.14949	0.74892	1.56944	0.26786	0.85228	1.47590	0.24316	0.99082	1.33007	0.28649	0.93337	1.28317	0.30288	1.06761	1.28178	0.30299	1.19735	1.16324	0.34488	1.18354	1.16687	0.42358	1.26630	1.13061	0.37969	0.39533	1.56613	0.23113	0.30150	1.47638	0.19837	0.15744	1.34304	0.21372	0.20961	1.29361	0.24281	0.01230	1.24362	0.22747	-0.07568	1.18606	0.24215	-0.06274	1.18452	0.31912	-0.14262	1.16125	0.27587	0.68512	1.06168	0.38797	0.42821	1.05725	0.37996	0.60690	1.11185	0.20527	0.51602	1.11290	0.20506	0.74707	0.99207	0.32398	0.74204	0.76147	0.31650	0.71109	0.56497	0.28716	0.71789	0.27444	0.22133	0.70441	0.10264	0.22506	0.64925	0.05130	0.15409	0.65981	0.04460	0.44681	0.75160	0.03326	0.34018	0.37256	0.98686	0.29594	0.38307	0.69190	0.28890	0.40793	0.55304	0.27692	0.38584	0.40598	0.23777	0.40819	0.10530	0.21964	0.47106	0.05679	0.14599	0.42647	0.04731	0.44111	0.34947	0.02892	0.31945	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09000	   10	0.67539	1.77677	0.29996	0.57619	1.86744	0.33259	0.48406	1.78434	0.27525	0.59803	1.79573	0.39316	0.58300	1.59892	0.21192	0.56672	1.26214	0.20344	0.55544	1.09116	0.19467	0.56339	1.14234	0.43821	0.56853	1.33023	0.43303	0.56839	1.49024	0.39938	0.48839	1.40937	0.14944	0.74889	1.56948	0.26778	0.85222	1.47585	0.24307	0.99076	1.33001	0.28645	0.93336	1.28316	0.30284	1.06755	1.28169	0.30298	1.19724	1.16318	0.34491	1.18345	1.16685	0.42362	1.26622	1.13054	0.37973	0.39525	1.56613	0.23114	0.30148	1.47630	0.19830	0.15744	1.34289	0.21375	0.20967	1.29353	0.24280	0.01242	1.24344	0.22755	-0.07563	1.18589	0.24228	-0.06266	1.18428	0.31927	-0.14256	1.16097	0.27604	0.68509	1.06170	0.38795	0.42815	1.05725	0.37991	0.60686	1.11184	0.20525	0.51602	1.11290	0.20501	0.74706	0.99210	0.32398	0.74203	0.76147	0.31650	0.71103	0.56492	0.28718	0.71788	0.27443	0.22136	0.70440	0.10264	0.22506	0.64925	0.05129	0.15413	0.65982	0.04462	0.44681	0.75160	0.03328	0.34021	0.37256	0.98682	0.29590	0.38311	0.69187	0.28887	0.40791	0.55304	0.27689	0.38586	0.40596	0.23776	0.40820	0.10531	0.21963	0.47123	0.05696	0.14591	0.42642	0.04726	0.44109	0.34945	0.02894	0.31944	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.10000	   11	0.67537	1.77678	0.29985	0.57616	1.86741	0.33252	0.48407	1.78434	0.27510	0.59797	1.79570	0.39306	0.58298	1.59893	0.21181	0.56670	1.26211	0.20339	0.55544	1.09115	0.19464	0.56335	1.14232	0.43815	0.56845	1.33027	0.43296	0.56840	1.49024	0.39934	0.48837	1.40934	0.14933	0.74887	1.56943	0.26769	0.85218	1.47583	0.24301	0.99069	1.32997	0.28644	0.93326	1.28312	0.30278	1.06745	1.28166	0.30294	1.19716	1.16312	0.34491	1.18337	1.16681	0.42361	1.26614	1.13048	0.37978	0.39512	1.56614	0.23119	0.30142	1.47624	0.19830	0.15745	1.34278	0.21377	0.20971	1.29339	0.24277	0.01243	1.24328	0.22765	-0.07559	1.18573	0.24243	-0.06257	1.18407	0.31938	-0.14251	1.16075	0.27627	0.68509	1.06169	0.38795	0.42809	1.05723	0.37986	0.60686	1.11185	0.20522	0.51600	1.11288	0.20498	0.74700	0.99207	0.32393	0.74200	0.76147	0.31651	0.71101	0.56493	0.28718	0.71789	0.27447	0.22137	0.70442	0.10264	0.22507	0.64924	0.05130	0.15409	0.65983	0.04463	0.44680	0.75161	0.03327	0.34021	0.37254	0.98686	0.29589	0.38311	0.69188	0.28882	0.40792	0.55304	0.27688	0.38585	0.40595	0.23775	0.40820	0.10528	0.21962	0.47121	0.05693	0.14592	0.42639	0.04725	0.44110	0.34945	0.02893	0.31943	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.11000	   12	0.67533	1.77678	0.29977	0.57611	1.86740	0.33243	0.48396	1.78435	0.27508	0.59796	1.79572	0.39297	0.58293	1.59891	0.21173	0.56675	1.26210	0.20337	0.55544	1.09115	0.19460	0.56331	1.14236	0.43811	0.56846	1.33027	0.43289	0.56835	1.49023	0.39925	0.48835	1.40931	0.14928	0.74881	1.56939	0.26754	0.85214	1.47577	0.24289	0.99066	1.32992	0.28638	0.93326	1.28310	0.30273	1.06741	1.28162	0.30287	1.19709	1.16311	0.34489	1.18330	1.16679	0.42365	1.26609	1.13046	0.37983	0.39512	1.56609	0.23105	0.30140	1.47615	0.19826	0.15747	1.34268	0.21382	0.20981	1.29333	0.24276	0.01247	1.24311	0.22770	-0.07551	1.18551	0.24251	-0.06246	1.18390	0.31952	-0.14252	1.16055	0.27642	0.68506	1.06171	0.38793	0.42802	1.05722	0.37980	0.60684	1.11180	0.20521	0.51597	1.11286	0.20495	0.74698	0.99209	0.32393	0.74203	0.76147	0.31653	0.71103	0.56494	0.28723	0.71790	0.27445	0.22138	0.70443	0.10264	0.22506	0.64924	0.05131	0.15409	0.65986	0.04462	0.44681	0.75164	0.03326	0.34018	0.37251	0.98683	0.29587	0.38306	0.69188	0.28879	0.40789	0.55306	0.27685	0.38585	0.40596	0.23772	0.40820	0.10528	0.21962	0.47122	0.05694	0.14592	0.42640	0.04729	0.44115	0.34945	0.02892	0.31944	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.12000	   13	0.67521	1.77681	0.29965	0.57597	1.86738	0.33231	0.48384	1.78444	0.27509	0.59785	1.79573	0.39286	0.58286	1.59888	0.21165	0.56670	1.26208	0.20332	0.55539	1.09112	0.19459	0.56331	1.14234	0.43811	0.56842	1.33027	0.43282	0.56824	1.49021	0.39915	0.48828	1.40928	0.14920	0.74871	1.56939	0.26743	0.85209	1.47576	0.24281	0.99058	1.32991	0.28631	0.93323	1.28307	0.30268	1.06735	1.28158	0.30288	1.19702	1.16305	0.34492	1.18317	1.16678	0.42365	1.26601	1.13044	0.37986	0.39515	1.56603	0.23087	0.30138	1.47609	0.19821	0.15744	1.34256	0.21382	0.20983	1.29324	0.24277	0.01249	1.24298	0.22778	-0.07552	1.18536	0.24265	-0.06238	1.18378	0.31965	-0.14261	1.16041	0.27668	0.68500	1.06170	0.38794	0.42792	1.05724	0.37975	0.60679	1.11183	0.20516	0.51595	1.11285	0.20493	0.74693	0.99209	0.32395	0.74202	0.76148	0.31654	0.71100	0.56492	0.28717	0.71787	0.27446	0.22139	0.70443	0.10266	0.22506	0.64926	0.05133	0.15410	0.65984	0.04460	0.44680	0.75162	0.03326	0.34022	0.37254	0.98681	0.29583	0.38307	0.69188	0.28876	0.40787	0.55304	0.27680	0.38579	0.40598	0.23770	0.40820	0.10530	0.21962	0.47121	0.05696	0.14594	0.42645	0.04732	0.44109	0.34946	0.02891	0.31944	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.13000	   14	0.67517	1.77681	0.29954	0.57591	1.86740	0.33221	0.48378	1.78439	0.27491	0.59771	1.79574	0.39274	0.58282	1.59889	0.21158	0.56670	1.26206	0.20326	0.55539	1.09112	0.19455	0.56320	1.14238	0.43804	0.56842	1.33027	0.43274	0.56820	1.49021	0.39906	0.48823	1.40928	0.14911	0.74865	1.56935	0.26730	0.85206	1.47573	0.24269	0.99052	1.32988	0.28625	0.93321	1.28304	0.30260	1.06729	1.28155	0.30281	1.19693	1.16304	0.34487	1.18309	1.16679	0.42369	1.26596	1.13043	0.37993	0.39510	1.56599	0.23089	0.30132	1.47601	0.19820	0.15749	1.34251	0.21378	0.20988	1.29319	0.24276	0.01248	1.24286	0.22789	-0.07550	1.18521	0.24279	-0.06228	1.18366	0.31975	-0.14258	1.16029	0.27681	0.68498	1.06170	0.38796	0.42789	1.05722	0.37972	0.60684	1.11181	0.20517	0.51593	1.11285	0.20489	0.74693	0.99209	0.32395	0.74193	0.76146	0.31652	0.71102	0.56496	0.28726	0.71789	0.27445	0.22138	0.70443	0.10266	0.22506	0.64926	0.05133	0.15409	0.65979	0.04464	0.44682	0.75162	0.03326	0.34022	0.37251	0.98680	0.29580	0.38303	0.69187	0.28871	0.40787	0.55304	0.27677	0.38576	0.40594	0.23767	0.40819	0.10530	0.21963	0.47124	0.05696	0.14591	0.42644	0.04730	0.44111	0.34946	0.02892	0.31943	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.14000	   15	0.67510	1.77683	0.29949	0.57579	1.86740	0.33207	0.48374	1.78433	0.27476	0.59761	1.79576	0.39262	0.58272	1.59893	0.21151	0.56668	1.26201	0.20321	0.55540	1.09111	0.19455	0.56318	1.14236	0.43797	0.56842	1.33024	0.43267	0.56809	1.49015	0.39895	0.48820	1.40926	0.14905	0.74862	1.56934	0.26722	0.85199	1.47570	0.24260	0.99047	1.32985	0.28620	0.93320	1.28302	0.30255	1.06722	1.28152	0.30277	1.19692	1.16303	0.34487	1.18302	1.16679	0.42368	1.26590	1.13043	0.37998	0.39498	1.56602	0.23090	0.30129	1.47592	0.19816	0.15738	1.34241	0.21387	0.20989	1.29313	0.24276	0.01253	1.24275	0.22793	-0.07545	1.18505	0.24287	-0.06225	1.18356	0.31989	-0.14261	1.16019	0.27696	0.68496	1.06170	0.38796	0.42786	1.05722	0.37967	0.60677	1.11181	0.20515	0.51595	1.11283	0.20487	0.74692	0.99209	0.32395	0.74195	0.76145	0.31654	0.71100	0.56492	0.28725	0.71789	0.27447	0.22139	0.70443	0.10264	0.22505	0.64924	0.05131	0.15410	0.65983	0.04462	0.44681	0.75160	0.03326	0.34018	0.37253	0.98680	0.29577	0.38303	0.69187	0.28869	0.40789	0.55304	0.27676	0.38583	0.40596	0.23767	0.40819	0.10529	0.21963	0.47119	0.05690	0.14594	0.42646	0.04736	0.44113	0.34944	0.02893	0.31944	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
