TimeStamp,FrameNumber,LHEAD.PosX,LHEAD.PosY,LHEAD.PosZ,THEAD.PosX,THEAD.PosY,THEAD.PosZ,RHEAD.PosX,RHEAD.PosY,RHEAD.PosZ,FHEAD.PosX,FHEAD.PosY,FHEAD.PosZ,C7.PosX,C7.PosY,C7.PosZ,T10.PosX,T10.PosY,T10.PosZ,SACR.PosX,SACR.PosY,SACR.PosZ,NAVE.PosX,NAVE.PosY,NAVE.PosZ,XYPH.PosX,XYPH.PosY,XYPH.PosZ,STRN.PosX,STRN.PosY,STRN.PosZ,BBAC.PosX,BBAC.PosY,BBAC.PosZ,LSHO.PosX,LSHO.PosY,LSHO.PosZ,LDELT.PosX,LDELT.PosY,LDELT.PosZ,LLEE.PosX,LLEE.PosY,LLEE.PosZ,LMEE.PosX,LMEE.PosY,LMEE.PosZ,LFRM.PosX,LFRM.PosY,LFRM.PosZ,LMW.PosX,LMW.PosY,LMW.PosZ,LLW.PosX,LLW.PosY,LLW.PosZ,LFIN.PosX,LFIN.PosY,LFIN.PosZ,RSHO.PosX,RSHO.PosY,RSHO.PosZ,RDELT.PosX,RDELT.PosY,RDELT.PosZ,RLEE.PosX,RLEE.PosY,RLEE.PosZ,RMEE.PosX,RMEE.PosY,RMEE.PosZ,RFRM.PosX,RFRM.PosY,RFRM.PosZ,RMW.PosX,RMW.PosY,RMW.PosZ,RLW.PosX,RLW.PosY,RLW.PosZ,RFIN.PosX,RFIN.PosY,RFIN.PosZ,LASIS.PosX,LASIS.PosY,LASIS.PosZ,RASIS.PosX,RASIS.PosY,RASIS.PosZ,LPSIS.PosX,LPSIS.PosY,LPSIS.PosZ,RPSIS.PosX,RPSIS.PosY,RPSIS.PosZ,LGTRO.PosX,LGTRO.PosY,LGTRO.PosZ,FLTHI.PosX,FLTHI.PosY,FLTHI.PosZ,LLEK.PosX,LLEK.PosY,LLEK.PosZ,LATI.PosX,LATI.PosY,LATI.PosZ,LLM.PosX,LLM.PosY,LLM.PosZ,LHEE.PosX,LHEE.PosY,LHEE.PosZ,LTOE.PosX,LTOE.PosY,LTOE.PosZ,LMT5.PosX,LMT5.PosY,LMT5.PosZ,RGTRO.PosX,RGTRO.PosY,RGTRO.PosZ,FRTHI.PosX,FRTHI.PosY,FRTHI.PosZ,RLEK.PosX,RLEK.PosY,RLEK.PosZ,RATI.PosX,RATI.PosY,RATI.PosZ,RLM.PosX,RLM.PosY,RLM.PosZ,RHEE.PosX,RHEE.PosY,RHEE.PosZ,RTOE.PosX,RTOE.PosY,RTOE.PosZ,RMT5.PosX,RMT5.PosY,RMT5.PosZ,FP1.CopX,FP1.CopY,FP1.CopZ,FP1.ForX,FP1.ForY,FP1.ForZ,FP1.MomX,FP1.MomY,FP1.MomZ,FP2.CopX,FP2.CopY,FP2.CopZ,FP2.ForX,FP2.ForY,FP2.ForZ,FP2.MomX,FP2.MomY,FP2.MomZ
0.00000,    1,-2.50505,1.75133,0.23199,-2.39309,1.84502,0.24841,-2.37816,1.76492,0.37563,-2.38775,1.75943,0.20446,-2.51470,1.56700,0.37985,-2.53242,1.24196,0.37640,-2.53873,1.08769,0.39461,-2.34559,1.09962,0.20624,-2.36114,1.33346,0.22556,-2.38625,1.47789,0.25521,-2.48214,1.39888,0.49450,-2.60687,1.55543,0.21119,-2.68379,1.46652,0.10177,-2.76323,1.35055,-0.01322,-2.71829,1.29594,0.02038,-2.83109,1.25632,-0.15871,-2.86538,1.18986,-0.22806,-2.78453,1.17719,-0.24585,-2.85482,1.14583,-0.30968,-2.35304,1.55667,0.46225,-2.26241,1.45689,0.57269,-2.14335,1.34624,0.66081,-2.18907,1.28795,0.61863,-2.07251,1.29780,0.71311,-1.95063,1.19587,0.78521,-1.92363,1.16524,0.71000,-1.87300,1.15659,0.77729,-2.48873,1.06386,0.16559,-2.30568,1.06540,0.35358,-2.56143,1.11546,0.34428,-2.49225,1.11590,0.42285,-2.59521,0.97633,0.19365,-2.59634,0.80175,0.19372,-2.58129,0.56788,0.21322,-2.62870,0.24683,0.25836,-2.63174,0.09929,0.27213,-2.66127,0.05585,0.36417,-2.44386,0.05401,0.15601,-2.57986,0.03718,0.15919,-2.31728,0.98599,0.45142,-2.32125,0.69410,0.45053,-2.33928,0.58774,0.43763,-2.37021,0.40604,0.50883,-2.41148,0.10338,0.50940,-2.50323,0.06190,0.53074,-2.26168,0.05351,0.33259,-2.28638,0.03750,0.46890,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.01000,    2,-2.50502,1.75132,0.23200,-2.39311,1.84502,0.24840,-2.37814,1.76492,0.37559,-2.38771,1.75944,0.20442,-2.51466,1.56703,0.37984,-2.53241,1.24191,0.37639,-2.53867,1.08771,0.39455,-2.34554,1.09964,0.20618,-2.36110,1.33346,0.22554,-2.38617,1.47790,0.25521,-2.48219,1.39891,0.49442,-2.60683,1.55544,0.21112,-2.68372,1.46648,0.10179,-2.76317,1.35049,-0.01318,-2.71821,1.29589,0.02035,-2.83101,1.25624,-0.15869,-2.86524,1.18980,-0.22808,-2.78437,1.17715,-0.24582,-2.85462,1.14566,-0.30962,-2.35300,1.55669,0.46224,-2.26245,1.45683,0.57269,-2.14354,1.34614,0.66082,-2.18909,1.28794,0.61864,-2.07248,1.29776,0.71311,-1.95073,1.19580,0.78522,-1.92363,1.16520,0.70999,-1.87312,1.15650,0.77732,-2.48868,1.06387,0.16555,-2.30563,1.06538,0.35354,-2.56137,1.11545,0.34421,-2.49220,1.11584,0.42280,-2.59516,0.97640,0.19358,-2.59632,0.80178,0.19365,-2.58122,0.56786,0.21330,-2.62870,0.24685,0.25837,-2.63174,0.09930,0.27214,-2.66125,0.05587,0.36420,-2.44385,0.05402,0.15603,-2.57985,0.03717,0.15923,-2.31718,0.98598,0.45141,-2.32122,0.69409,0.45051,-2.33925,0.58773,0.43760,-2.37011,0.40605,0.50879,-2.41148,0.10337,0.50944,-2.50333,0.06191,0.53078,-2.26167,0.05354,0.33260,-2.28641,0.03745,0.46893,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.02000,    3,-2.50502,1.75130,0.23196,-2.39310,1.84504,0.24840,-2.37815,1.76494,0.37557,-2.38773,1.75944,0.20438,-2.51462,1.56697,0.37982,-2.53247,1.24191,0.37637,-2.53862,1.08774,0.39454,-2.34548,1.09961,0.20608,-2.36108,1.33344,0.22555,-2.38613,1.47788,0.25518,-2.48214,1.39888,0.49440,-2.60680,1.55542,0.21110,-2.68372,1.46646,0.10170,-2.76310,1.35040,-0.01318,-2.71805,1.29584,0.02039,-2.83093,1.25616,-0.15870,-2.86513,1.18966,-0.22807,-2.78426,1.17704,-0.24585,-2.85447,1.14541,-0.30961,-2.35301,1.55667,0.46219,-2.26242,1.45683,0.57266,-2.14356,1.34606,0.66086,-2.18912,1.28790,0.61856,-2.07253,1.29769,0.71314,-1.95082,1.19571,0.78525,-1.92369,1.16515,0.71000,-1.87312,1.15646,0.77731,-2.48863,1.06387,0.16553,-2.30560,1.06538,0.35349,-2.56130,1.11545,0.34422,-2.49107,1.11515,0.42105,-2.59511,0.97630,0.19362,-2.59629,0.80179,0.19361,-2.58122,0.56784,0.21336,-2.62873,0.24687,0.25835,-2.63178,0.09932,0.27209,-2.66124,0.05586,0.36420,-2.44386,0.05402,0.15604,-2.57986,0.03717,0.15923,-2.31719,0.98596,0.45132,-2.32121,0.69405,0.45047,-2.33925,0.58771,0.43759,-2.37007,0.40606,0.50876,-2.41153,0.10333,0.50940,-2.50328,0.06190,0.53081,-2.26167,0.05351,0.33260,-2.28644,0.03744,0.46893,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.03000,    4,-2.50498,1.75127,0.23195,-2.39309,1.84505,0.24841,-2.37811,1.76492,0.37555,-2.38768,1.75945,0.20439,-2.51460,1.56701,0.37978,-2.53243,1.24191,0.37630,-2.53855,1.08772,0.39454,-2.34542,1.09959,0.20601,-2.36106,1.33343,0.22552,-2.38612,1.47786,0.25514,-2.48217,1.39887,0.49432,-2.60675,1.55541,0.21105,-2.68361,1.46641,0.10185,-2.76309,1.35034,-0.01325,-2.71802,1.29576,0.02034,-2.83085,1.25605,-0.15870,-2.86505,1.18954,-0.22807,-2.78405,1.17691,-0.24588,-2.85424,1.14521,-0.30957,-2.35298,1.55664,0.46218,-2.26247,1.45677,0.57262,-2.14347,1.34602,0.66086,-2.18911,1.28780,0.61853,-2.07259,1.29763,0.71315,-1.95085,1.19565,0.78523,-1.92369,1.16511,0.71000,-1.87317,1.15640,0.77734,-2.48857,1.06385,0.16549,-2.30558,1.06534,0.35343,-2.56134,1.11549,0.34414,-2.49091,1.11513,0.42096,-2.59510,0.97631,0.19357,-2.59628,0.80176,0.19362,-2.58118,0.56786,0.21335,-2.62872,0.24687,0.25839,-2.63176,0.09929,0.27210,-2.66129,0.05583,0.36419,-2.44386,0.05401,0.15603,-2.57984,0.03717,0.15922,-2.31713,0.98594,0.45127,-2.32115,0.69408,0.45043,-2.33921,0.58771,0.43754,-2.37006,0.40605,0.50876,-2.41157,0.10340,0.50943,-2.50328,0.06191,0.53072,-2.26167,0.05349,0.33261,-2.28639,0.03744,0.46893,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.04000,    5,-2.50498,1.75131,0.23193,-2.39304,1.84507,0.24839,-2.37802,1.76490,0.37551,-2.38766,1.75947,0.20436,-2.51463,1.56699,0.37972,-2.53243,1.24191,0.37630,-2.53850,1.08773,0.39447,-2.34536,1.09959,0.20593,-2.36101,1.33345,0.22544,-2.38608,1.47786,0.25511,-2.48211,1.39885,0.49426,-2.60667,1.55542,0.21095,-2.68358,1.46638,0.10174,-2.76300,1.35029,-0.01328,-2.71800,1.29570,0.02029,-2.83073,1.25594,-0.15877,-2.86490,1.18943,-0.22809,-2.78386,1.17677,-0.24585,-2.85408,1.14503,-0.30961,-2.35291,1.55664,0.46213,-2.26244,1.45671,0.57260,-2.14362,1.34595,0.66086,-2.18910,1.28777,0.61844,-2.07259,1.29761,0.71314,-1.95094,1.19557,0.78523,-1.92368,1.16506,0.71001,-1.87324,1.15631,0.77741,-2.48853,1.06385,0.16544,-2.30553,1.06537,0.35335,-2.56128,1.11547,0.34407,-2.49078,1.11506,0.42087,-2.59506,0.97632,0.19355,-2.59621,0.80177,0.19360,-2.58117,0.56786,0.21335,-2.62872,0.24688,0.25840,-2.63175,0.09928,0.27214,-2.66125,0.05581,0.36422,-2.44385,0.05402,0.15603,-2.57985,0.03719,0.15922,-2.31712,0.98593,0.45125,-2.32109,0.69404,0.45040,-2.33915,0.58772,0.43750,-2.37001,0.40604,0.50875,-2.41149,0.10335,0.50941,-2.50330,0.06191,0.53079,-2.26167,0.05352,0.33260,-2.28640,0.03746,0.46893,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.05000,    6,-2.50494,1.75133,0.23189,-2.39301,1.84506,0.24840,-2.37798,1.76489,0.37551,-2.38762,1.75947,0.20436,-2.51465,1.56696,0.37966,-2.53237,1.24188,0.37623,-2.53844,1.08772,0.39451,-2.34532,1.09959,0.20588,-2.36097,1.33346,0.22539,-2.38607,1.47787,0.25505,-2.48211,1.39882,0.49426,-2.60666,1.55541,0.21093,-2.68357,1.46638,0.10150,-2.76294,1.35025,-0.01328,-2.71791,1.29565,0.02028,-2.83058,1.25588,-0.15881,-2.86474,1.18931,-0.22812,-2.78368,1.17659,-0.24577,-2.85392,1.14485,-0.30962,-2.35291,1.55664,0.46210,-2.26244,1.45663,0.57257,-2.14360,1.34590,0.66089,-2.18914,1.28774,0.61840,-2.07272,1.29754,0.71310,-1.95110,1.19545,0.78522,-1.92374,1.16496,0.71000,-1.87332,1.15620,0.77742,-2.48852,1.06382,0.16543,-2.30549,1.06534,0.35332,-2.56123,1.11554,0.34410,-2.49075,1.11514,0.42082,-2.59505,0.97633,0.19353,-2.59624,0.80178,0.19362,-2.58118,0.56786,0.21333,-2.62873,0.24687,0.25843,-2.63178,0.09932,0.27209,-2.66127,0.05584,0.36420,-2.44387,0.05404,0.15604,-2.57987,0.03717,0.15922,-2.31694,0.98595,0.45118,-2.32100,0.69405,0.45034,-2.33916,0.58767,0.43749,-2.37004,0.40602,0.50874,-2.41146,0.10336,0.50941,-2.50328,0.06190,0.53081,-2.26167,0.05352,0.33260,-2.28639,0.03746,0.46893,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.06000,    7,-2.50490,1.75136,0.23186,-2.39295,1.84504,0.24842,-2.37795,1.76484,0.37551,-2.38759,1.75951,0.20434,-2.51463,1.56699,0.37964,-2.53241,1.24191,0.37622,-2.53841,1.08766,0.39443,-2.34531,1.09953,0.20577,-2.36093,1.33344,0.22537,-2.38602,1.47786,0.25498,-2.48206,1.39886,0.49419,-2.60662,1.55540,0.21084,-2.68356,1.46635,0.10132,-2.76282,1.35015,-0.01335,-2.71785,1.29559,0.02029,-2.83049,1.25574,-0.15889,-2.86460,1.18911,-0.22811,-2.78356,1.17634,-0.24576,-2.85375,1.14466,-0.30963,-2.35284,1.55663,0.46207,-2.26243,1.45661,0.57255,-2.14365,1.34587,0.66090,-2.18912,1.28772,0.61840,-2.07278,1.29748,0.71313,-1.95108,1.19541,0.78524,-1.92381,1.16486,0.70998,-1.87360,1.15595,0.77754,-2.48852,1.06380,0.16535,-2.30544,1.06532,0.35330,-2.56112,1.11551,0.34413,-2.49090,1.11522,0.42094,-2.59504,0.97636,0.19352,-2.59623,0.80173,0.19364,-2.58123,0.56786,0.21325,-2.62871,0.24685,0.25842,-2.63176,0.09926,0.27210,-2.66124,0.05585,0.36419,-2.44386,0.05403,0.15603,-2.57988,0.03718,0.15920,-2.31686,0.98597,0.45115,-2.32092,0.69409,0.45031,-2.33909,0.58773,0.43748,-2.37008,0.40602,0.50870,-2.41147,0.10340,0.50943,-2.50328,0.06190,0.53081,-2.26166,0.05349,0.33260,-2.28638,0.03745,0.46893,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.07000,    8,-2.50485,1.75136,0.23187,-2.39289,1.84506,0.24843,-2.37780,1.76483,0.37550,-2.38753,1.75953,0.20434,-2.51460,1.56699,0.37959,-2.53243,1.24184,0.37611,-2.53844,1.08767,0.39441,-2.34526,1.09950,0.20577,-2.36089,1.33346,0.22533,-2.38601,1.47789,0.25497,-2.48207,1.39886,0.49409,-2.60661,1.55538,0.21078,-2.68354,1.46630,0.10119,-2.76279,1.35009,-0.01342,-2.71777,1.29556,0.02021,-2.83038,1.25562,-0.15886,-2.86440,1.18895,-0.22808,-2.78352,1.17618,-0.24575,-2.85362,1.14450,-0.30967,-2.35281,1.55661,0.46201,-2.26242,1.45654,0.57252,-2.14368,1.34584,0.66085,-2.18911,1.28768,0.61834,-2.07283,1.29744,0.71313,-1.95115,1.19534,0.78521,-1.92391,1.16477,0.70996,-1.87345,1.15593,0.77741,-2.48846,1.06377,0.16534,-2.30536,1.06535,0.35325,-2.56114,1.11550,0.34402,-2.49071,1.11510,0.42075,-2.59501,0.97635,0.19354,-2.59619,0.80172,0.19362,-2.58119,0.56786,0.21324,-2.62870,0.24687,0.25842,-2.63177,0.09929,0.27212,-2.66129,0.05583,0.36419,-2.44386,0.05404,0.15603,-2.57989,0.03719,0.15919,-2.31675,0.98600,0.45109,-2.32090,0.69408,0.45024,-2.33906,0.58772,0.43745,-2.37004,0.40606,0.50871,-2.41150,0.10337,0.50940,-2.50329,0.06191,0.53080,-2.26168,0.05349,0.33259,-2.28638,0.03748,0.46892,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.08000,    9,-2.50482,1.75141,0.23178,-2.39281,1.84505,0.24845,-2.37778,1.76482,0.37550,-2.38748,1.75953,0.20434,-2.51455,1.56699,0.37952,-2.53243,1.24184,0.37611,-2.53827,1.08773,0.39440,-2.34524,1.09948,0.20569,-2.36086,1.33344,0.22529,-2.38601,1.47786,0.25492,-2.48201,1.39888,0.49402,-2.60660,1.55536,0.21068,-2.68346,1.46626,0.10110,-2.76274,1.34996,-0.01348,-2.71774,1.29547,0.02022,-2.83031,1.25548,-0.15893,-2.86429,1.18874,-0.22812,-2.78339,1.17607,-0.24570,-2.85348,1.14434,-0.30968,-2.35277,1.55662,0.46198,-2.26241,1.45653,0.57248,-2.14370,1.34576,0.66084,-2.18915,1.28763,0.61833,-2.07272,1.29742,0.71311,-1.95123,1.19525,0.78519,-1.92399,1.16463,0.70997,-1.87358,1.15577,0.77739,-2.48848,1.06377,0.16531,-2.30532,1.06535,0.35322,-2.56107,1.11550,0.34406,-2.49068,1.11513,0.42074,-2.59503,0.97632,0.19353,-2.59619,0.80174,0.19361,-2.58120,0.56787,0.21320,-2.62871,0.24683,0.25842,-2.63177,0.09931,0.27211,-2.66121,0.05585,0.36423,-2.44385,0.05404,0.15606,-2.57988,0.03717,0.15919,-2.31669,0.98599,0.45107,-2.32102,0.69404,0.45023,-2.33904,0.58774,0.43741,-2.37013,0.40598,0.50873,-2.41151,0.10337,0.50940,-2.50330,0.06191,0.53079,-2.26167,0.05351,0.33258,-2.28637,0.03745,0.46892,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.09000,   10,-2.50478,1.75142,0.23173,-2.39278,1.84505,0.24843,-2.37772,1.76478,0.37548,-2.38742,1.75956,0.20432,-2.51455,1.56700,0.37952,-2.53238,1.24188,0.37606,-2.53826,1.08777,0.39441,-2.34521,1.09948,0.20567,-2.36084,1.33345,0.22520,-2.38599,1.47786,0.25492,-2.48198,1.39890,0.49398,-2.60662,1.55536,0.21054,-2.68350,1.46622,0.10088,-2.76267,1.34987,-0.01355,-2.71757,1.29536,0.02019,-2.83018,1.25530,-0.15897,-2.86421,1.18859,-0.22817,-2.78325,1.17596,-0.24572,-2.85339,1.14420,-0.30971,-2.35275,1.55662,0.46192,-2.26239,1.45653,0.57245,-2.14366,1.34572,0.66083,-2.18916,1.28757,0.61829,-2.07284,1.29735,0.71308,-1.95131,1.19516,0.78516,-1.92409,1.16454,0.70995,-1.87368,1.15560,0.77742,-2.48849,1.06376,0.16521,-2.30526,1.06532,0.35319,-2.56101,1.11548,0.34400,-2.49072,1.11518,0.42077,-2.59498,0.97631,0.19347,-2.59620,0.80172,0.19361,-2.58120,0.56785,0.21320,-2.62870,0.24685,0.25839,-2.63176,0.09928,0.27211,-2.66124,0.05586,0.36420,-2.44384,0.05401,0.15604,-2.57990,0.03720,0.15916,-2.31680,0.98587,0.45105,-2.32094,0.69407,0.45016,-2.33904,0.58773,0.43742,-2.37009,0.40604,0.50871,-2.41148,0.10339,0.50939,-2.50328,0.06190,0.53081,-2.26166,0.05349,0.33259,-2.28664,0.03736,0.46901,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.10000,   11,-2.50476,1.75145,0.23170,-2.39272,1.84506,0.24843,-2.37766,1.76480,0.37544,-2.38738,1.75957,0.20429,-2.51450,1.56698,0.37946,-2.53238,1.24191,0.37605,-2.53819,1.08773,0.39441,-2.34516,1.09947,0.20563,-2.36078,1.33342,0.22519,-2.38595,1.47787,0.25485,-2.48189,1.39892,0.49400,-2.60656,1.55530,0.21050,-2.68337,1.46608,0.10100,-2.76262,1.34976,-0.01357,-2.71756,1.29530,0.02016,-2.83012,1.25514,-0.15900,-2.86413,1.18844,-0.22825,-2.78317,1.17582,-0.24578,-2.85324,1.14404,-0.30966,-2.35269,1.55664,0.46186,-2.26236,1.45655,0.57241,-2.14372,1.34573,0.66080,-2.18917,1.28759,0.61821,-2.07280,1.29730,0.71308,-1.95141,1.19507,0.78514,-1.92415,1.16444,0.70996,-1.87400,1.15539,0.77749,-2.48845,1.06375,0.16524,-2.30520,1.06535,0.35315,-2.56103,1.11551,0.34398,-2.49057,1.11505,0.42064,-2.59498,0.97633,0.19348,-2.59614,0.80174,0.19356,-2.58127,0.56788,0.21308,-2.62870,0.24687,0.25839,-2.63176,0.09930,0.27212,-2.66125,0.05585,0.36419,-2.44386,0.05402,0.15603,-2.57990,0.03719,0.15917,-2.31677,0.98588,0.45100,-2.32095,0.69406,0.45016,-2.33904,0.58773,0.43742,-2.37000,0.40608,0.50871,-2.41151,0.10339,0.50942,-2.50328,0.06190,0.53081,-2.26165,0.05349,0.33261,-2.28666,0.03736,0.46902,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.11000,   12,-2.50470,1.75143,0.23166,-2.39269,1.84510,0.24840,-2.37767,1.76477,0.37544,-2.38732,1.75956,0.20426,-2.51450,1.56699,0.37936,-2.53219,1.24189,0.37603,-2.53814,1.08776,0.39434,-2.34513,1.09949,0.20558,-2.36076,1.33345,0.22512,-2.38590,1.47790,0.25477,-2.48179,1.39893,0.49396,-2.60655,1.55528,0.21042,-2.68342,1.46605,0.10075,-2.76218,1.34959,-0.01345,-2.71748,1.29525,0.02014,-2.83002,1.25500,-0.15905,-2.86403,1.18833,-0.22832,-2.78305,1.17572,-0.24578,-2.85311,1.14385,-0.30967,-2.35267,1.55668,0.46180,-2.26236,1.45655,0.57235,-2.14378,1.34566,0.66078,-2.18914,1.28756,0.61813,-2.07293,1.29723,0.71307,-1.95156,1.19498,0.78513,-1.92425,1.16433,0.70992,-1.87389,1.15539,0.77739,-2.48844,1.06373,0.16520,-2.30518,1.06531,0.35312,-2.56096,1.11549,0.34393,-2.49066,1.11517,0.42070,-2.59495,0.97633,0.19346,-2.59612,0.80173,0.19356,-2.58121,0.56786,0.21318,-2.62870,0.24685,0.25839,-2.63176,0.09929,0.27213,-2.66123,0.05583,0.36423,-2.44386,0.05404,0.15602,-2.57989,0.03717,0.15918,-2.31655,0.98599,0.45097,-2.32093,0.69405,0.45018,-2.33903,0.58772,0.43742,-2.37007,0.40601,0.50870,-2.41148,0.10342,0.50941,-2.50324,0.06191,0.53075,-2.26166,0.05351,0.33260,-2.28637,0.03748,0.46892,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.12000,   13,-2.50462,1.75142,0.23152,-2.39265,1.84507,0.24837,-2.37772,1.76474,0.37540,-2.38728,1.75958,0.20421,-2.51448,1.56701,0.37931,-2.53214,1.24186,0.37596,-2.53811,1.08778,0.39430,-2.34507,1.09949,0.20558,-2.36072,1.33345,0.22508,-2.38587,1.47791,0.25476,-2.48167,1.39895,0.49392,-2.60653,1.55526,0.21036,-2.68325,1.46592,0.10096,-2.76251,1.34961,-0.01371,-2.71744,1.29517,0.02011,-2.82996,1.25489,-0.15906,-2.86394,1.18821,-0.22836,-2.78296,1.17566,-0.24578,-2.85298,1.14371,-0.30969,-2.35262,1.55672,0.46175,-2.26238,1.45653,0.57230,-2.14378,1.34557,0.66067,-2.18916,1.28751,0.61801,-2.07300,1.29715,0.71300,-1.95170,1.19487,0.78509,-1.92431,1.16426,0.70993,-1.87398,1.15531,0.77739,-2.48840,1.06375,0.16514,-2.30517,1.06531,0.35310,-2.56096,1.11552,0.34393,-2.49050,1.11509,0.42057,-2.59491,0.97634,0.19341,-2.59611,0.80177,0.19349,-2.58126,0.56789,0.21306,-2.62872,0.24690,0.25834,-2.63175,0.09928,0.27213,-2.66122,0.05583,0.36423,-2.44385,0.05405,0.15602,-2.57990,0.03717,0.15920,-2.31684,0.98586,0.45099,-2.32084,0.69407,0.45019,-2.33904,0.58772,0.43742,-2.37000,0.40602,0.50867,-2.41146,0.10340,0.50942,-2.50326,0.06192,0.53074,-2.26169,0.05351,0.33259,-2.28641,0.03744,0.46893,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.13000,   14,-2.50457,1.75144,0.23149,-2.39258,1.84508,0.24834,-2.37769,1.76474,0.37535,-2.38720,1.75959,0.20419,-2.51445,1.56707,0.37930,-2.53214,1.24191,0.37597,-2.53808,1.08778,0.39427,-2.34499,1.09947,0.20557,-2.36064,1.33346,0.22507,-2.38585,1.47789,0.25469,-2.48162,1.39901,0.49385,-2.60648,1.55521,0.21034,-2.68311,1.46581,0.10129,-2.76241,1.34954,-0.01371,-2.71737,1.29511,0.02009,-2.82984,1.25480,-0.15912,-2.86384,1.18816,-0.22842,-2.78287,1.17559,-0.24583,-2.85283,1.14360,-0.30971,-2.35261,1.55674,0.46168,-2.26232,1.45653,0.57224,-2.14365,1.34556,0.66061,-2.18917,1.28753,0.61793,-2.07302,1.29711,0.71295,-1.95174,1.19476,0.78508,-1.92435,1.16418,0.70994,-1.87408,1.15519,0.77739,-2.48835,1.06377,0.16510,-2.30515,1.06528,0.35309,-2.56091,1.11557,0.34386,-2.49053,1.11515,0.42065,-2.59489,0.97633,0.19339,-2.59611,0.80178,0.19345,-2.58118,0.56789,0.21316,-2.62871,0.24688,0.25837,-2.63175,0.09929,0.27212,-2.66124,0.05589,0.36418,-2.44388,0.05403,0.15603,-2.57988,0.03717,0.15921,-2.31679,0.98585,0.45098,-2.32078,0.69408,0.45024,-2.33902,0.58770,0.43743,-2.36992,0.40605,0.50868,-2.41154,0.10337,0.50942,-2.50327,0.06189,0.53080,-2.26164,0.05351,0.33259,-2.28636,0.03747,0.46889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
