TimeStamp,FrameNumber,LHEAD.PosX,LHEAD.PosY,LHEAD.PosZ,THEAD.PosX,THEAD.PosY,THEAD.PosZ,RHEAD.PosX,RHEAD.PosY,RHEAD.PosZ,FHEAD.PosX,FHEAD.PosY,FHEAD.PosZ,C7.PosX,C7.PosY,C7.PosZ,T10.PosX,T10.PosY,T10.PosZ,SACR.PosX,SACR.PosY,SACR.PosZ,NAVE.PosX,NAVE.PosY,NAVE.PosZ,XYPH.PosX,XYPH.PosY,XYPH.PosZ,STRN.PosX,STRN.PosY,STRN.PosZ,BBAC.PosX,BBAC.PosY,BBAC.PosZ,LSHO.PosX,LSHO.PosY,LSHO.PosZ,LDELT.PosX,LDELT.PosY,LDELT.PosZ,LLEE.PosX,LLEE.PosY,LLEE.PosZ,LMEE.PosX,LMEE.PosY,LMEE.PosZ,LFRM.PosX,LFRM.PosY,LFRM.PosZ,LMW.PosX,LMW.PosY,LMW.PosZ,LLW.PosX,LLW.PosY,LLW.PosZ,LFIN.PosX,LFIN.PosY,LFIN.PosZ,RSHO.PosX,RSHO.PosY,RSHO.PosZ,RDELT.PosX,RDELT.PosY,RDELT.PosZ,RLEE.PosX,RLEE.PosY,RLEE.PosZ,RMEE.PosX,RMEE.PosY,RMEE.PosZ,RFRM.PosX,RFRM.PosY,RFRM.PosZ,RMW.PosX,RMW.PosY,RMW.PosZ,RLW.PosX,RLW.PosY,RLW.PosZ,RFIN.PosX,RFIN.PosY,RFIN.PosZ,LASIS.PosX,LASIS.PosY,LASIS.PosZ,RASIS.PosX,RASIS.PosY,RASIS.PosZ,LPSIS.PosX,LPSIS.PosY,LPSIS.PosZ,RPSIS.PosX,RPSIS.PosY,RPSIS.PosZ,LGTRO.PosX,LGTRO.PosY,LGTRO.PosZ,FLTHI.PosX,FLTHI.PosY,FLTHI.PosZ,LLEK.PosX,LLEK.PosY,LLEK.PosZ,LATI.PosX,LATI.PosY,LATI.PosZ,LLM.PosX,LLM.PosY,LLM.PosZ,LHEE.PosX,LHEE.PosY,LHEE.PosZ,LTOE.PosX,LTOE.PosY,LTOE.PosZ,LMT5.PosX,LMT5.PosY,LMT5.PosZ,RGTRO.PosX,RGTRO.PosY,RGTRO.PosZ,FRTHI.PosX,FRTHI.PosY,FRTHI.PosZ,RLEK.PosX,RLEK.PosY,RLEK.PosZ,RATI.PosX,RATI.PosY,RATI.PosZ,RLM.PosX,RLM.PosY,RLM.PosZ,RHEE.PosX,RHEE.PosY,RHEE.PosZ,RTOE.PosX,RTOE.PosY,RTOE.PosZ,RMT5.PosX,RMT5.PosY,RMT5.PosZ,FP1.CopX,FP1.CopY,FP1.CopZ,FP1.ForX,FP1.ForY,FP1.ForZ,FP1.MomX,FP1.MomY,FP1.MomZ,FP2.CopX,FP2.CopY,FP2.CopZ,FP2.ForX,FP2.ForY,FP2.ForZ,FP2.MomX,FP2.MomY,FP2.MomZ
0.00000,    1,0.64872,1.74462,0.18957,0.55475,1.82188,0.24660,0.47312,1.74871,0.19570,0.58850,1.72711,0.33359,0.56899,1.54026,0.14190,0.56992,1.17898,0.08014,0.56695,0.99350,0.07328,0.55451,1.04284,0.32470,0.56860,1.29329,0.32039,0.56912,1.48332,0.27833,0.51399,1.35325,0.05732,0.72551,1.53683,0.16959,0.84529,1.40407,0.12166,0.91302,1.28138,0.10464,0.85579,1.23360,0.13666,1.01904,1.21866,0.14247,1.10803,1.10978,0.14683,1.08540,1.08798,0.21470,1.16244,1.06615,0.18504,0.42147,1.53481,0.17595,0.29484,1.41410,0.14112,0.21545,1.29220,0.12298,0.26044,1.23933,0.15944,0.11296,1.23492,0.13689,0.00549,1.11473,0.14132,0.02778,1.10989,0.21099,-0.04811,1.07567,0.17629,0.69195,0.98657,0.27449,0.42155,0.97991,0.26467,0.61495,1.01888,0.07967,0.52389,1.02098,0.08048,0.75515,0.93112,0.20549,0.74570,0.71252,0.21224,0.70820,0.53426,0.17196,0.71024,0.27771,0.12443,0.68997,0.10560,0.12742,0.64134,0.04946,0.06375,0.65107,0.04910,0.35423,0.73677,0.04617,0.25489,0.37306,0.92434,0.20549,0.38056,0.63815,0.18816,0.40640,0.52559,0.17133,0.37657,0.34713,0.13304,0.40137,0.10159,0.13777,0.44467,0.05020,0.06801,0.44237,0.05792,0.36006,0.35734,0.03807,0.24896,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.01000,    2,0.64872,1.74463,0.18948,0.55480,1.82192,0.24672,0.47312,1.74869,0.19568,0.58849,1.72713,0.33351,0.56897,1.54028,0.14186,0.56994,1.17894,0.08012,0.56698,0.99349,0.07326,0.55453,1.04283,0.32472,0.56855,1.29329,0.32037,0.56911,1.48333,0.27832,0.51391,1.35325,0.05726,0.72551,1.53686,0.16955,0.84528,1.40405,0.12159,0.91301,1.28142,0.10456,0.85577,1.23363,0.13653,1.01901,1.21868,0.14243,1.10808,1.10980,0.14680,1.08541,1.08800,0.21464,1.16243,1.06617,0.18501,0.42144,1.53484,0.17596,0.29483,1.41409,0.14110,0.21548,1.29220,0.12291,0.26045,1.23931,0.15942,0.11299,1.23491,0.13687,0.00553,1.11470,0.14126,0.02785,1.10982,0.21095,-0.04806,1.07558,0.17623,0.69197,0.98658,0.27444,0.42156,0.97992,0.26469,0.61494,1.01887,0.07963,0.52388,1.02096,0.08048,0.75531,0.93119,0.20548,0.74566,0.71251,0.21223,0.70823,0.53425,0.17195,0.71021,0.27770,0.12442,0.68997,0.10560,0.12744,0.64135,0.04944,0.06376,0.65106,0.04910,0.35423,0.73676,0.04615,0.25486,0.37308,0.92432,0.20551,0.38048,0.63818,0.18829,0.40637,0.52559,0.17141,0.37658,0.34714,0.13306,0.40135,0.10162,0.13781,0.44467,0.05020,0.06801,0.44235,0.05793,0.36008,0.35733,0.03806,0.24896,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.02000,    3,0.64876,1.74467,0.18941,0.55471,1.82189,0.24648,0.47304,1.74874,0.19572,0.58851,1.72714,0.33346,0.56892,1.54029,0.14179,0.56990,1.17897,0.08007,0.56695,0.99348,0.07321,0.55456,1.04284,0.32469,0.56859,1.29333,0.32032,0.56909,1.48332,0.27826,0.51391,1.35331,0.05723,0.72548,1.53687,0.16944,0.84534,1.40410,0.12154,0.91301,1.28143,0.10453,0.85580,1.23364,0.13640,1.01902,1.21869,0.14235,1.10804,1.10985,0.14674,1.08538,1.08802,0.21457,1.16242,1.06617,0.18498,0.42140,1.53484,0.17594,0.29483,1.41413,0.14110,0.21547,1.29224,0.12289,0.26047,1.23933,0.15940,0.11303,1.23492,0.13687,0.00558,1.11466,0.14123,0.02793,1.10978,0.21092,-0.04801,1.07553,0.17619,0.69200,0.98658,0.27438,0.42159,0.97992,0.26475,0.61490,1.01884,0.07962,0.52388,1.02093,0.08048,0.75535,0.93122,0.20540,0.74569,0.71252,0.21216,0.70821,0.53426,0.17192,0.71021,0.27768,0.12440,0.68997,0.10563,0.12742,0.64133,0.04947,0.06375,0.65108,0.04910,0.35423,0.73673,0.04616,0.25485,0.37304,0.92437,0.20559,0.38047,0.63820,0.18833,0.40633,0.52561,0.17146,0.37654,0.34716,0.13317,0.40136,0.10165,0.13779,0.44466,0.05023,0.06801,0.44233,0.05793,0.36006,0.35727,0.03810,0.24894,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.03000,    4,0.64877,1.74467,0.18935,0.55475,1.82192,0.24660,0.47303,1.74873,0.19571,0.58851,1.72713,0.33340,0.56885,1.54025,0.14176,0.56986,1.17897,0.08002,0.56696,0.99344,0.07321,0.55457,1.04283,0.32468,0.56860,1.29334,0.32026,0.56909,1.48333,0.27818,0.51390,1.35327,0.05715,0.72546,1.53689,0.16934,0.84536,1.40413,0.12146,0.91303,1.28147,0.10445,0.85577,1.23364,0.13640,1.01898,1.21873,0.14228,1.10805,1.10986,0.14667,1.08535,1.08803,0.21448,1.16241,1.06615,0.18491,0.42138,1.53484,0.17592,0.29483,1.41413,0.14110,0.21546,1.29225,0.12290,0.26048,1.23937,0.15935,0.11301,1.23495,0.13686,0.00558,1.11463,0.14119,0.02798,1.10971,0.21087,-0.04798,1.07549,0.17612,0.69202,0.98659,0.27436,0.42162,0.97991,0.26475,0.61493,1.01886,0.07957,0.52387,1.02093,0.08047,0.75551,0.93125,0.20538,0.74573,0.71253,0.21211,0.70819,0.53421,0.17184,0.71023,0.27767,0.12438,0.68996,0.10560,0.12740,0.64136,0.04946,0.06375,0.65105,0.04909,0.35422,0.73673,0.04616,0.25485,0.37306,0.92435,0.20559,0.38047,0.63817,0.18835,0.40634,0.52563,0.17147,0.37656,0.34715,0.13315,0.40138,0.10163,0.13777,0.44467,0.05021,0.06801,0.44232,0.05793,0.36006,0.35729,0.03810,0.24899,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.04000,    5,0.64868,1.74465,0.18926,0.55473,1.82194,0.24659,0.47311,1.74870,0.19555,0.58853,1.72716,0.33337,0.56884,1.54025,0.14168,0.56990,1.17897,0.08000,0.56695,0.99343,0.07321,0.55460,1.04280,0.32471,0.56862,1.29333,0.32020,0.56913,1.48331,0.27811,0.51383,1.35326,0.05708,0.72549,1.53692,0.16928,0.84534,1.40417,0.12139,0.91301,1.28151,0.10439,0.85577,1.23370,0.13635,1.01898,1.21875,0.14220,1.10807,1.10989,0.14662,1.08534,1.08808,0.21445,1.16240,1.06615,0.18489,0.42135,1.53487,0.17592,0.29483,1.41417,0.14108,0.21545,1.29228,0.12284,0.26045,1.23936,0.15929,0.11297,1.23498,0.13684,0.00558,1.11469,0.14115,0.02799,1.10969,0.21081,-0.04795,1.07546,0.17610,0.69207,0.98661,0.27433,0.42166,0.97991,0.26472,0.61498,1.01890,0.07955,0.52384,1.02091,0.08045,0.75546,0.93121,0.20529,0.74572,0.71252,0.21207,0.70824,0.53426,0.17187,0.71022,0.27768,0.12439,0.68994,0.10561,0.12739,0.64134,0.04945,0.06375,0.65105,0.04909,0.35423,0.73674,0.04615,0.25485,0.37309,0.92436,0.20568,0.38049,0.63816,0.18838,0.40636,0.52562,0.17148,0.37655,0.34716,0.13315,0.40134,0.10162,0.13781,0.44465,0.05018,0.06805,0.44231,0.05792,0.36005,0.35727,0.03810,0.24898,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.05000,    6,0.64865,1.74466,0.18920,0.55464,1.82188,0.24635,0.47299,1.74869,0.19561,0.58854,1.72715,0.33331,0.56877,1.54027,0.14162,0.56984,1.17895,0.07997,0.56694,0.99343,0.07319,0.55461,1.04280,0.32470,0.56865,1.29336,0.32014,0.56912,1.48330,0.27803,0.51385,1.35327,0.05711,0.72547,1.53694,0.16918,0.84528,1.40418,0.12131,0.91304,1.28153,0.10434,0.85576,1.23375,0.13630,1.01898,1.21879,0.14216,1.10808,1.10992,0.14655,1.08531,1.08810,0.21434,1.16236,1.06614,0.18484,0.42134,1.53488,0.17589,0.29483,1.41421,0.14101,0.21542,1.29236,0.12282,0.26045,1.23941,0.15925,0.11295,1.23504,0.13680,0.00558,1.11473,0.14108,0.02802,1.10971,0.21078,-0.04792,1.07543,0.17607,0.69210,0.98661,0.27431,0.42169,0.97992,0.26478,0.61486,1.01883,0.07955,0.52391,1.02092,0.08045,0.75551,0.93124,0.20527,0.74578,0.71251,0.21199,0.70823,0.53423,0.17184,0.71021,0.27767,0.12436,0.68996,0.10561,0.12740,0.64134,0.04945,0.06375,0.65094,0.04909,0.35407,0.73674,0.04615,0.25485,0.37314,0.92437,0.20573,0.38053,0.63821,0.18840,0.40634,0.52561,0.17145,0.37656,0.34717,0.13315,0.40137,0.10164,0.13777,0.44471,0.05023,0.06799,0.44234,0.05792,0.36005,0.35726,0.03814,0.24896,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.06000,    7,0.64862,1.74465,0.18907,0.55470,1.82191,0.24647,0.47290,1.74867,0.19571,0.58861,1.72713,0.33325,0.56878,1.54028,0.14158,0.56977,1.17893,0.07990,0.56693,0.99343,0.07316,0.55466,1.04279,0.32470,0.56871,1.29338,0.32007,0.56915,1.48332,0.27788,0.51378,1.35327,0.05704,0.72551,1.53700,0.16909,0.84529,1.40422,0.12123,0.91304,1.28158,0.10424,0.85581,1.23379,0.13623,1.01895,1.21880,0.14204,1.10805,1.10993,0.14647,1.08534,1.08815,0.21427,1.16233,1.06612,0.18477,0.42134,1.53488,0.17587,0.29485,1.41427,0.14100,0.21536,1.29243,0.12279,0.26048,1.23949,0.15915,0.11291,1.23509,0.13676,0.00551,1.11479,0.14107,0.02801,1.10972,0.21069,-0.04797,1.07547,0.17606,0.69212,0.98662,0.27426,0.42173,0.97989,0.26476,0.61492,1.01887,0.07948,0.52386,1.02089,0.08043,0.75564,0.93124,0.20520,0.74582,0.71251,0.21195,0.70832,0.53422,0.17178,0.71025,0.27768,0.12436,0.68998,0.10560,0.12741,0.64137,0.04943,0.06374,0.65107,0.04910,0.35422,0.73676,0.04616,0.25487,0.37313,0.92438,0.20578,0.38055,0.63817,0.18836,0.40637,0.52564,0.17149,0.37655,0.34714,0.13315,0.40134,0.10164,0.13781,0.44468,0.05019,0.06803,0.44235,0.05791,0.36004,0.35727,0.03809,0.24896,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.07000,    8,0.64857,1.74463,0.18899,0.55470,1.82190,0.24646,0.47289,1.74867,0.19571,0.58862,1.72710,0.33319,0.56877,1.54029,0.14150,0.56984,1.17890,0.07985,0.56693,0.99342,0.07314,0.55470,1.04275,0.32471,0.56877,1.29337,0.31998,0.56917,1.48329,0.27781,0.51371,1.35330,0.05700,0.72548,1.53698,0.16896,0.84526,1.40422,0.12111,0.91305,1.28162,0.10417,0.85579,1.23380,0.13632,1.01896,1.21885,0.14198,1.10802,1.10996,0.14636,1.08531,1.08819,0.21418,1.16232,1.06610,0.18474,0.42134,1.53489,0.17587,0.29479,1.41431,0.14100,0.21533,1.29252,0.12273,0.26040,1.23949,0.15899,0.11290,1.23520,0.13665,0.00551,1.11484,0.14098,0.02799,1.10977,0.21059,-0.04800,1.07553,0.17604,0.69219,0.98662,0.27421,0.42178,0.97989,0.26476,0.61494,1.01884,0.07948,0.52388,1.02089,0.08041,0.75554,0.93119,0.20514,0.74584,0.71249,0.21192,0.70836,0.53423,0.17176,0.71027,0.27766,0.12432,0.68998,0.10558,0.12741,0.64136,0.04944,0.06376,0.65106,0.04909,0.35421,0.73676,0.04617,0.25486,0.37321,0.92434,0.20578,0.38064,0.63815,0.18833,0.40642,0.52559,0.17146,0.37662,0.34710,0.13305,0.40136,0.10163,0.13778,0.44470,0.05020,0.06800,0.44231,0.05791,0.36004,0.35730,0.03810,0.24893,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.08000,    9,0.64849,1.74462,0.18892,0.55466,1.82190,0.24639,0.47284,1.74867,0.19568,0.58866,1.72708,0.33315,0.56868,1.54028,0.14139,0.56982,1.17897,0.07981,0.56695,0.99342,0.07312,0.55474,1.04277,0.32473,0.56882,1.29339,0.31992,0.56920,1.48326,0.27773,0.51377,1.35334,0.05696,0.72544,1.53703,0.16886,0.84521,1.40429,0.12099,0.91302,1.28169,0.10410,0.85581,1.23386,0.13622,1.01891,1.21888,0.14187,1.10796,1.10997,0.14629,1.08525,1.08826,0.21410,1.16225,1.06611,0.18470,0.42136,1.53495,0.17586,0.29474,1.41442,0.14105,0.21533,1.29262,0.12258,0.26039,1.23959,0.15899,0.11281,1.23526,0.13664,0.00548,1.11493,0.14091,0.02793,1.10986,0.21049,-0.04802,1.07559,0.17591,0.69225,0.98664,0.27420,0.42187,0.97988,0.26477,0.61495,1.01882,0.07946,0.52390,1.02088,0.08041,0.75558,0.93119,0.20507,0.74586,0.71249,0.21189,0.70839,0.53423,0.17174,0.71026,0.27766,0.12432,0.69000,0.10559,0.12740,0.64138,0.04942,0.06376,0.65107,0.04912,0.35422,0.73677,0.04616,0.25484,0.37326,0.92437,0.20579,0.38068,0.63814,0.18828,0.40649,0.52562,0.17145,0.37660,0.34710,0.13305,0.40134,0.10164,0.13781,0.44468,0.05022,0.06800,0.44235,0.05795,0.36005,0.35731,0.03807,0.24890,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.09000,   10,0.64838,1.74461,0.18881,0.55468,1.82188,0.24639,0.47278,1.74868,0.19575,0.58870,1.72708,0.33309,0.56862,1.54030,0.14133,0.56981,1.17894,0.07976,0.56698,0.99341,0.07309,0.55480,1.04276,0.32470,0.56887,1.29340,0.31984,0.56924,1.48323,0.27762,0.51372,1.35332,0.05695,0.72543,1.53708,0.16875,0.84518,1.40435,0.12087,0.91300,1.28174,0.10400,0.85580,1.23394,0.13619,1.01890,1.21896,0.14181,1.10796,1.11002,0.14622,1.08520,1.08831,0.21399,1.16221,1.06610,0.18464,0.42137,1.53497,0.17585,0.29472,1.41449,0.14103,0.21522,1.29270,0.12262,0.26036,1.23966,0.15892,0.11277,1.23538,0.13654,0.00545,1.11509,0.14076,0.02784,1.10998,0.21038,-0.04808,1.07572,0.17579,0.69230,0.98664,0.27416,0.42193,0.97985,0.26476,0.61500,1.01884,0.07943,0.52387,1.02087,0.08041,0.75558,0.93119,0.20506,0.74590,0.71248,0.21181,0.70840,0.53424,0.17169,0.71030,0.27766,0.12432,0.69001,0.10557,0.12741,0.64136,0.04944,0.06376,0.65108,0.04912,0.35423,0.73678,0.04617,0.25485,0.37328,0.92437,0.20579,0.38074,0.63815,0.18830,0.40654,0.52563,0.17146,0.37663,0.34711,0.13305,0.40136,0.10165,0.13782,0.44467,0.05017,0.06804,0.44239,0.05794,0.36005,0.35732,0.03814,0.24899,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.10000,   11,0.64832,1.74459,0.18874,0.55461,1.82186,0.24636,0.47272,1.74865,0.19574,0.58873,1.72706,0.33307,0.56854,1.54034,0.14126,0.56979,1.17896,0.07967,0.56697,0.99340,0.07309,0.55487,1.04274,0.32471,0.56892,1.29337,0.31977,0.56926,1.48323,0.27752,0.51371,1.35333,0.05687,0.72542,1.53712,0.16863,0.84519,1.40437,0.12077,0.91288,1.28177,0.10389,0.85579,1.23395,0.13608,1.01886,1.21897,0.14169,1.10793,1.11006,0.14614,1.08512,1.08834,0.21387,1.16217,1.06611,0.18461,0.42140,1.53502,0.17579,0.29473,1.41455,0.14098,0.21513,1.29276,0.12269,0.26038,1.23975,0.15890,0.11273,1.23546,0.13650,0.00534,1.11523,0.14068,0.02776,1.11008,0.21026,-0.04817,1.07589,0.17571,0.69234,0.98663,0.27411,0.42198,0.97983,0.26476,0.61503,1.01884,0.07939,0.52390,1.02086,0.08039,0.75572,0.93117,0.20504,0.74591,0.71247,0.21181,0.70845,0.53422,0.17166,0.71033,0.27767,0.12429,0.69003,0.10557,0.12742,0.64138,0.04942,0.06376,0.65109,0.04911,0.35420,0.73679,0.04617,0.25486,0.37335,0.92437,0.20580,0.38079,0.63813,0.18824,0.40660,0.52562,0.17134,0.37666,0.34712,0.13302,0.40138,0.10163,0.13780,0.44467,0.05019,0.06801,0.44237,0.05792,0.36004,0.35737,0.03806,0.24893,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.11000,   12,0.64824,1.74461,0.18867,0.55455,1.82187,0.24633,0.47266,1.74864,0.19579,0.58874,1.72705,0.33302,0.56852,1.54034,0.14122,0.56980,1.17895,0.07962,0.56696,0.99337,0.07307,0.55492,1.04274,0.32474,0.56896,1.29336,0.31969,0.56924,1.48322,0.27741,0.51376,1.35336,0.05677,0.72538,1.53715,0.16851,0.84509,1.40441,0.12065,0.91286,1.28182,0.10380,0.85574,1.23402,0.13604,1.01882,1.21900,0.14159,1.10789,1.11007,0.14604,1.08504,1.08838,0.21376,1.16214,1.06613,0.18459,0.42139,1.53505,0.17578,0.29469,1.41464,0.14104,0.21500,1.29278,0.12285,0.26031,1.23982,0.15885,0.11264,1.23556,0.13648,0.00523,1.11538,0.14058,0.02764,1.11024,0.21024,-0.04825,1.07607,0.17553,0.69238,0.98664,0.27406,0.42202,0.97987,0.26476,0.61503,1.01882,0.07937,0.52394,1.02086,0.08036,0.75573,0.93116,0.20497,0.74592,0.71247,0.21178,0.70843,0.53421,0.17164,0.71033,0.27766,0.12426,0.69004,0.10555,0.12740,0.64137,0.04942,0.06374,0.65109,0.04916,0.35423,0.73679,0.04616,0.25486,0.37335,0.92435,0.20585,0.38082,0.63812,0.18820,0.40660,0.52562,0.17141,0.37661,0.34713,0.13313,0.40138,0.10162,0.13778,0.44466,0.05018,0.06802,0.44238,0.05793,0.36005,0.35737,0.03808,0.24893,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.12000,   13,0.64815,1.74460,0.18860,0.55452,1.82185,0.24634,0.47255,1.74865,0.19584,0.58875,1.72703,0.33297,0.56852,1.54035,0.14110,0.56987,1.17896,0.07958,0.56699,0.99336,0.07304,0.55496,1.04275,0.32476,0.56899,1.29338,0.31963,0.56928,1.48320,0.27731,0.51373,1.35336,0.05676,0.72534,1.53718,0.16841,0.84509,1.40444,0.12053,0.91286,1.28185,0.10372,0.85568,1.23402,0.13595,1.01878,1.21905,0.14148,1.10785,1.11011,0.14594,1.08499,1.08842,0.21369,1.16209,1.06615,0.18452,0.42139,1.53508,0.17575,0.29473,1.41470,0.14096,0.21457,1.29274,0.12350,0.26027,1.23991,0.15884,0.11260,1.23568,0.13641,0.00518,1.11554,0.14042,0.02756,1.11038,0.21021,-0.04841,1.07629,0.17538,0.69241,0.98667,0.27401,0.42206,0.97986,0.26475,0.61499,1.01878,0.07930,0.52395,1.02084,0.08033,0.75582,0.93117,0.20494,0.74594,0.71247,0.21178,0.70850,0.53422,0.17160,0.71033,0.27766,0.12425,0.69003,0.10558,0.12741,0.64135,0.04942,0.06376,0.65110,0.04917,0.35421,0.73678,0.04616,0.25485,0.37334,0.92438,0.20585,0.38079,0.63817,0.18832,0.40662,0.52561,0.17140,0.37666,0.34713,0.13304,0.40138,0.10161,0.13778,0.44463,0.05017,0.06807,0.44237,0.05793,0.36005,0.35735,0.03810,0.24895,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.13000,   14,0.64813,1.74459,0.18852,0.55444,1.82184,0.24630,0.47256,1.74863,0.19575,0.58876,1.72703,0.33292,0.56848,1.54034,0.14101,0.56983,1.17893,0.07954,0.56699,0.99336,0.07297,0.55500,1.04274,0.32472,0.56899,1.29338,0.31955,0.56929,1.48319,0.27718,0.51370,1.35337,0.05665,0.72529,1.53719,0.16827,0.84506,1.40444,0.12038,0.91276,1.28186,0.10362,0.85566,1.23405,0.13590,1.01875,1.21905,0.14139,1.10781,1.11012,0.14584,1.08490,1.08843,0.21356,1.16209,1.06615,0.18444,0.42137,1.53510,0.17573,0.29473,1.41477,0.14092,0.21441,1.29282,0.12351,0.26023,1.23999,0.15876,0.11250,1.23581,0.13635,0.00508,1.11573,0.14035,0.02750,1.11052,0.21017,-0.04856,1.07652,0.17524,0.69243,0.98666,0.27399,0.42210,0.97987,0.26473,0.61504,1.01877,0.07931,0.52398,1.02084,0.08029,0.75596,0.93119,0.20493,0.74597,0.71246,0.21173,0.70851,0.53422,0.17160,0.71034,0.27763,0.12421,0.69006,0.10556,0.12737,0.64137,0.04942,0.06374,0.65108,0.04915,0.35421,0.73677,0.04617,0.25485,0.37336,0.92442,0.20593,0.38085,0.63817,0.18827,0.40659,0.52564,0.17146,0.37665,0.34713,0.13309,0.40137,0.10165,0.13779,0.44469,0.05019,0.06800,0.44237,0.05795,0.36004,0.35734,0.03810,0.24895,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.14000,   15,0.64807,1.74460,0.18846,0.55438,1.82181,0.24630,0.47254,1.74859,0.19573,0.58875,1.72699,0.33292,0.56842,1.54033,0.14091,0.56980,1.17894,0.07947,0.56701,0.99332,0.07296,0.55505,1.04272,0.32475,0.56899,1.29335,0.31950,0.56926,1.48317,0.27709,0.51364,1.35335,0.05659,0.72525,1.53722,0.16813,0.84498,1.40446,0.12026,0.91274,1.28187,0.10354,0.85567,1.23406,0.13580,1.01869,1.21905,0.14125,1.10778,1.11010,0.14574,1.08488,1.08846,0.21344,1.16202,1.06616,0.18436,0.42137,1.53510,0.17565,0.29464,1.41481,0.14099,0.21442,1.29292,0.12340,0.26015,1.24008,0.15876,0.11241,1.23597,0.13633,0.00492,1.11588,0.14032,0.02736,1.11066,0.21015,-0.04871,1.07668,0.17524,0.69247,0.98666,0.27394,0.42212,0.97990,0.26474,0.61506,1.01877,0.07926,0.52399,1.02080,0.08023,0.75603,0.93117,0.20489,0.74599,0.71245,0.21172,0.70849,0.53419,0.17155,0.71030,0.27761,0.12420,0.68999,0.10552,0.12734,0.64137,0.04938,0.06374,0.65107,0.04916,0.35421,0.73676,0.04616,0.25484,0.37338,0.92441,0.20590,0.38081,0.63820,0.18833,0.40659,0.52560,0.17145,0.37664,0.34713,0.13315,0.40135,0.10162,0.13779,0.44465,0.05018,0.06805,0.44238,0.05792,0.36005,0.35731,0.03809,0.24896,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
