TimeStamp	FrameNumber	LHEAD.PosX	LHEAD.PosY	LHEAD.PosZ	THEAD.PosX	THEAD.PosY	THEAD.PosZ	RHEAD.PosX	RHEAD.PosY	RHEAD.PosZ	FHEAD.PosX	FHEAD.PosY	FHEAD.PosZ	C7.PosX	C7.PosY	C7.PosZ	T10.PosX	T10.PosY	T10.PosZ	SACR.PosX	SACR.PosY	SACR.PosZ	NAVE.PosX	NAVE.PosY	NAVE.PosZ	XYPH.PosX	XYPH.PosY	XYPH.PosZ	STRN.PosX	STRN.PosY	STRN.PosZ	BBAC.PosX	BBAC.PosY	BBAC.PosZ	LSHO.PosX	LSHO.PosY	LSHO.PosZ	LDELT.PosX	LDELT.PosY	LDELT.PosZ	LLEE.PosX	LLEE.PosY	LLEE.PosZ	LMEE.PosX	LMEE.PosY	LMEE.PosZ	LFRM.PosX	LFRM.PosY	LFRM.PosZ	LMW.PosX	LMW.PosY	LMW.PosZ	LLW.PosX	LLW.PosY	LLW.PosZ	LFIN.PosX	LFIN.PosY	LFIN.PosZ	RSHO.PosX	RSHO.PosY	RSHO.PosZ	RDELT.PosX	RDELT.PosY	RDELT.PosZ	RLEE.PosX	RLEE.PosY	RLEE.PosZ	RMEE.PosX	RMEE.PosY	RMEE.PosZ	RFRM.PosX	RFRM.PosY	RFRM.PosZ	RMW.PosX	RMW.PosY	RMW.PosZ	RLW.PosX	RLW.PosY	RLW.PosZ	RFIN.PosX	RFIN.PosY	RFIN.PosZ	LASIS.PosX	LASIS.PosY	LASIS.PosZ	RASIS.PosX	RASIS.PosY	RASIS.PosZ	LPSIS.PosX	LPSIS.PosY	LPSIS.PosZ	RPSIS.PosX	RPSIS.PosY	RPSIS.PosZ	LGTRO.PosX	LGTRO.PosY	LGTRO.PosZ	FLTHI.PosX	FLTHI.PosY	FLTHI.PosZ	LLEK.PosX	LLEK.PosY	LLEK.PosZ	LATI.PosX	LATI.PosY	LATI.PosZ	LLM.PosX	LLM.PosY	LLM.PosZ	LHEE.PosX	LHEE.PosY	LHEE.PosZ	LTOE.PosX	LTOE.PosY	LTOE.PosZ	LMT5.PosX	LMT5.PosY	LMT5.PosZ	RGTRO.PosX	RGTRO.PosY	RGTRO.PosZ	FRTHI.PosX	FRTHI.PosY	FRTHI.PosZ	RLEK.PosX	RLEK.PosY	RLEK.PosZ	RATI.PosX	RATI.PosY	RATI.PosZ	RLM.PosX	RLM.PosY	RLM.PosZ	RHEE.PosX	RHEE.PosY	RHEE.PosZ	RTOE.PosX	RTOE.PosY	RTOE.PosZ	RMT5.PosX	RMT5.PosY	RMT5.PosZ	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ
0.00000	    1	-2.48660	1.79800	0.24085	-2.42719	1.88309	0.33446	-2.50565	1.79296	0.41985	-2.37580	1.81078	0.30818	-2.57600	1.63793	0.32205	-2.63066	1.28887	0.31025	-2.63977	1.09501	0.32514	-2.38178	1.13657	0.33370	-2.44052	1.38169	0.33590	-2.44768	1.54707	0.32527	-2.64711	1.52382	0.42390	-2.52008	1.61163	0.15447	-2.52813	1.53154	0.03435	-2.49396	1.38790	-0.11754	-2.48392	1.33214	-0.07139	-2.41828	1.30728	-0.28548	-2.38735	1.26632	-0.35886	-2.33016	1.25451	-0.31846	-2.33775	1.23048	-0.40757	-2.54658	1.61910	0.47844	-2.57229	1.55352	0.59606	-2.58316	1.40926	0.75185	-2.55879	1.35384	0.70261	-2.55908	1.37323	0.84794	-2.52480	1.27745	0.99357	-2.45793	1.26598	0.96169	-2.47267	1.23682	1.04698	-2.42354	1.07827	0.20744	-2.43838	1.07731	0.46080	-2.63315	1.11194	0.27637	-2.63078	1.11813	0.37509	-2.50931	0.99893	0.14288	-2.50887	0.78387	0.14967	-2.52297	0.59019	0.18015	-2.59255	0.29360	0.15978	-2.61283	0.10812	0.18532	-2.67898	0.06417	0.24410	-2.39473	0.05811	0.25060	-2.48708	0.03413	0.15760	-2.53428	0.97680	0.52373	-2.53086	0.68202	0.51593	-2.54430	0.57333	0.50252	-2.62418	0.41940	0.53765	-2.63931	0.11301	0.50391	-2.68985	0.06345	0.44050	-2.41029	0.05913	0.47835	-2.50976	0.03285	0.56034	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01000	    2	-2.48658	1.79802	0.24092	-2.42718	1.88309	0.33450	-2.50559	1.79295	0.41994	-2.37577	1.81077	0.30826	-2.57601	1.63797	0.32204	-2.63066	1.28887	0.31025	-2.63965	1.09499	0.32519	-2.38168	1.13656	0.33373	-2.44052	1.38171	0.33592	-2.44771	1.54710	0.32530	-2.64710	1.52381	0.42396	-2.52005	1.61164	0.15449	-2.52811	1.53156	0.03436	-2.49394	1.38791	-0.11747	-2.48389	1.33214	-0.07133	-2.41828	1.30729	-0.28546	-2.38735	1.26632	-0.35884	-2.33016	1.25452	-0.31844	-2.33776	1.23049	-0.40754	-2.54655	1.61912	0.47845	-2.57229	1.55352	0.59609	-2.58322	1.40927	0.75179	-2.55880	1.35385	0.70267	-2.55913	1.37327	0.84791	-2.52478	1.27752	0.99366	-2.45795	1.26605	0.96174	-2.47270	1.23695	1.04705	-2.42351	1.07827	0.20743	-2.43836	1.07731	0.46078	-2.63314	1.11195	0.27642	-2.63073	1.11815	0.37507	-2.50931	0.99893	0.14288	-2.50887	0.78388	0.14970	-2.52296	0.59020	0.18018	-2.59258	0.29358	0.15981	-2.61283	0.10813	0.18535	-2.67897	0.06416	0.24411	-2.39476	0.05810	0.25058	-2.48708	0.03414	0.15760	-2.53427	0.97679	0.52374	-2.53084	0.68197	0.51588	-2.54430	0.57334	0.50252	-2.62417	0.41940	0.53766	-2.63931	0.11304	0.50391	-2.68981	0.06347	0.44051	-2.41030	0.05916	0.47835	-2.50976	0.03285	0.56035	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02000	    3	-2.48657	1.79804	0.24099	-2.42716	1.88307	0.33459	-2.50556	1.79295	0.41998	-2.37571	1.81076	0.30835	-2.57598	1.63794	0.32208	-2.63063	1.28881	0.31029	-2.63970	1.09498	0.32528	-2.38158	1.13654	0.33379	-2.44050	1.38170	0.33594	-2.44769	1.54711	0.32534	-2.64710	1.52381	0.42396	-2.52002	1.61164	0.15452	-2.52810	1.53154	0.03442	-2.49394	1.38789	-0.11747	-2.48389	1.33217	-0.07134	-2.41826	1.30728	-0.28544	-2.38737	1.26632	-0.35883	-2.33017	1.25452	-0.31842	-2.33776	1.23050	-0.40753	-2.54652	1.61912	0.47851	-2.57229	1.55353	0.59610	-2.58324	1.40929	0.75184	-2.55881	1.35387	0.70276	-2.55909	1.37333	0.84804	-2.52482	1.27758	0.99369	-2.45795	1.26611	0.96181	-2.47274	1.23707	1.04716	-2.42350	1.07828	0.20748	-2.43830	1.07731	0.46080	-2.63314	1.11192	0.27643	-2.63068	1.11815	0.37514	-2.50929	0.99891	0.14291	-2.50884	0.78389	0.14967	-2.52295	0.59018	0.18019	-2.59259	0.29356	0.15984	-2.61282	0.10814	0.18535	-2.67897	0.06413	0.24418	-2.39476	0.05809	0.25058	-2.48708	0.03413	0.15760	-2.53424	0.97676	0.52377	-2.53078	0.68199	0.51585	-2.54426	0.57332	0.50254	-2.62409	0.41943	0.53771	-2.63935	0.11301	0.50390	-2.68982	0.06345	0.44049	-2.41030	0.05915	0.47835	-2.50978	0.03284	0.56036	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03000	    4	-2.48650	1.79803	0.24104	-2.42710	1.88305	0.33466	-2.50552	1.79292	0.42004	-2.37570	1.81076	0.30841	-2.57598	1.63794	0.32211	-2.63063	1.28882	0.31029	-2.63963	1.09498	0.32526	-2.38150	1.13650	0.33387	-2.44048	1.38171	0.33602	-2.44765	1.54710	0.32536	-2.64705	1.52377	0.42398	-2.52001	1.61161	0.15457	-2.52807	1.53155	0.03446	-2.49394	1.38789	-0.11748	-2.48382	1.33216	-0.07129	-2.41826	1.30727	-0.28539	-2.38737	1.26628	-0.35877	-2.33015	1.25449	-0.31841	-2.33776	1.23047	-0.40751	-2.54657	1.61911	0.47851	-2.57226	1.55352	0.59616	-2.58319	1.40937	0.75190	-2.55879	1.35387	0.70282	-2.55915	1.37335	0.84801	-2.52484	1.27766	0.99376	-2.45796	1.26617	0.96187	-2.47278	1.23721	1.04725	-2.42350	1.07827	0.20749	-2.43828	1.07728	0.46082	-2.63312	1.11191	0.27648	-2.63066	1.11807	0.37523	-2.50928	0.99890	0.14293	-2.50887	0.78384	0.14969	-2.52293	0.59017	0.18023	-2.59256	0.29357	0.15984	-2.61281	0.10814	0.18533	-2.67895	0.06414	0.24415	-2.39474	0.05811	0.25063	-2.48708	0.03412	0.15760	-2.53420	0.97676	0.52379	-2.53070	0.68201	0.51590	-2.54427	0.57330	0.50256	-2.62410	0.41941	0.53772	-2.63931	0.11302	0.50390	-2.68982	0.06345	0.44050	-2.41030	0.05912	0.47837	-2.50977	0.03282	0.56038	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04000	    5	-2.48643	1.79803	0.24106	-2.42708	1.88304	0.33473	-2.50554	1.79290	0.42010	-2.37567	1.81075	0.30852	-2.57597	1.63792	0.32214	-2.63063	1.28886	0.31030	-2.63961	1.09492	0.32526	-2.38141	1.13646	0.33390	-2.44045	1.38173	0.33604	-2.44764	1.54713	0.32539	-2.64704	1.52379	0.42404	-2.51998	1.61161	0.15457	-2.52803	1.53155	0.03445	-2.49389	1.38786	-0.11737	-2.48382	1.33213	-0.07127	-2.41826	1.30726	-0.28539	-2.38737	1.26627	-0.35877	-2.33015	1.25448	-0.31842	-2.33776	1.23045	-0.40749	-2.54655	1.61912	0.47853	-2.57226	1.55354	0.59618	-2.58323	1.40932	0.75191	-2.55873	1.35389	0.70280	-2.55914	1.37338	0.84805	-2.52488	1.27771	0.99378	-2.45793	1.26625	0.96193	-2.47280	1.23727	1.04731	-2.42351	1.07829	0.20750	-2.43825	1.07727	0.46080	-2.63311	1.11188	0.27656	-2.63060	1.11809	0.37531	-2.50928	0.99891	0.14294	-2.50887	0.78388	0.14973	-2.52294	0.59017	0.18025	-2.59259	0.29356	0.15984	-2.61284	0.10813	0.18540	-2.67896	0.06416	0.24411	-2.39476	0.05811	0.25059	-2.48708	0.03414	0.15760	-2.53419	0.97672	0.52376	-2.53058	0.68203	0.51588	-2.54419	0.57330	0.50255	-2.62414	0.41939	0.53767	-2.63932	0.11300	0.50391	-2.68982	0.06345	0.44052	-2.41030	0.05915	0.47836	-2.50979	0.03287	0.56036	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05000	    6	-2.48639	1.79805	0.24108	-2.42705	1.88303	0.33476	-2.50558	1.79288	0.42007	-2.37563	1.81073	0.30858	-2.57596	1.63794	0.32215	-2.63063	1.28881	0.31030	-2.63968	1.09492	0.32531	-2.38134	1.13641	0.33391	-2.44043	1.38175	0.33605	-2.44761	1.54717	0.32540	-2.64704	1.52378	0.42404	-2.51993	1.61162	0.15458	-2.52802	1.53155	0.03449	-2.49389	1.38786	-0.11737	-2.48376	1.33214	-0.07123	-2.41826	1.30724	-0.28541	-2.38736	1.26627	-0.35877	-2.33017	1.25443	-0.31840	-2.33779	1.23039	-0.40746	-2.54654	1.61912	0.47853	-2.57225	1.55355	0.59619	-2.58322	1.40931	0.75193	-2.55871	1.35391	0.70284	-2.55913	1.37340	0.84808	-2.52493	1.27776	0.99383	-2.45795	1.26632	0.96198	-2.47282	1.23733	1.04734	-2.42344	1.07831	0.20750	-2.43823	1.07725	0.46081	-2.63310	1.11188	0.27657	-2.63060	1.11809	0.37531	-2.50929	0.99891	0.14297	-2.50887	0.78388	0.14970	-2.52290	0.59018	0.18022	-2.59255	0.29358	0.15982	-2.61283	0.10813	0.18536	-2.67895	0.06416	0.24414	-2.39477	0.05810	0.25057	-2.48708	0.03415	0.15759	-2.53415	0.97671	0.52379	-2.53057	0.68206	0.51585	-2.54423	0.57329	0.50255	-2.62408	0.41941	0.53769	-2.63935	0.11303	0.50388	-2.68984	0.06346	0.44051	-2.41029	0.05915	0.47835	-2.50976	0.03285	0.56035	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06000	    7	-2.48633	1.79805	0.24112	-2.42703	1.88303	0.33480	-2.50557	1.79289	0.42008	-2.37563	1.81072	0.30866	-2.57593	1.63795	0.32218	-2.63060	1.28880	0.31036	-2.63955	1.09495	0.32544	-2.38123	1.13638	0.33394	-2.44039	1.38175	0.33608	-2.44760	1.54717	0.32541	-2.64704	1.52380	0.42409	-2.51990	1.61161	0.15460	-2.52799	1.53154	0.03448	-2.49386	1.38784	-0.11734	-2.48378	1.33213	-0.07121	-2.41826	1.30721	-0.28536	-2.38737	1.26621	-0.35877	-2.33016	1.25438	-0.31838	-2.33779	1.23032	-0.40746	-2.54656	1.61913	0.47855	-2.57224	1.55358	0.59623	-2.58321	1.40938	0.75199	-2.55868	1.35392	0.70288	-2.55917	1.37340	0.84809	-2.52488	1.27782	0.99388	-2.45792	1.26634	0.96200	-2.47287	1.23734	1.04738	-2.42345	1.07828	0.20750	-2.43817	1.07725	0.46083	-2.63308	1.11187	0.27662	-2.63060	1.11808	0.37532	-2.50932	0.99890	0.14299	-2.50887	0.78388	0.14972	-2.52288	0.59017	0.18022	-2.59255	0.29357	0.15982	-2.61281	0.10814	0.18534	-2.67898	0.06413	0.24408	-2.39476	0.05809	0.25058	-2.48708	0.03413	0.15759	-2.53419	0.97668	0.52376	-2.53049	0.68208	0.51591	-2.54420	0.57329	0.50255	-2.62412	0.41937	0.53766	-2.63938	0.11298	0.50386	-2.68985	0.06344	0.44049	-2.41030	0.05914	0.47835	-2.50979	0.03284	0.56035	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07000	    8	-2.48625	1.79805	0.24113	-2.42699	1.88301	0.33488	-2.50560	1.79285	0.42009	-2.37558	1.81070	0.30871	-2.57591	1.63793	0.32215	-2.63060	1.28880	0.31037	-2.63953	1.09494	0.32546	-2.38112	1.13634	0.33399	-2.44039	1.38176	0.33613	-2.44759	1.54718	0.32543	-2.64703	1.52380	0.42409	-2.51985	1.61162	0.15460	-2.52794	1.53155	0.03451	-2.49386	1.38784	-0.11734	-2.48372	1.33209	-0.07123	-2.41824	1.30717	-0.28533	-2.38735	1.26617	-0.35874	-2.33014	1.25435	-0.31837	-2.33782	1.23025	-0.40741	-2.54654	1.61914	0.47854	-2.57229	1.55358	0.59620	-2.58321	1.40938	0.75200	-2.55863	1.35392	0.70292	-2.55912	1.37346	0.84814	-2.52487	1.27780	0.99389	-2.45789	1.26636	0.96201	-2.47282	1.23734	1.04740	-2.42343	1.07826	0.20752	-2.43816	1.07724	0.46084	-2.63308	1.11187	0.27663	-2.63057	1.11811	0.37548	-2.50931	0.99890	0.14304	-2.50888	0.78389	0.14976	-2.52288	0.59017	0.18024	-2.59253	0.29359	0.15979	-2.61278	0.10815	0.18533	-2.67894	0.06414	0.24411	-2.39476	0.05812	0.25058	-2.48708	0.03413	0.15758	-2.53422	0.97664	0.52374	-2.53048	0.68209	0.51592	-2.54424	0.57326	0.50254	-2.62413	0.41937	0.53765	-2.63933	0.11301	0.50388	-2.68985	0.06343	0.44050	-2.41030	0.05915	0.47833	-2.50979	0.03284	0.56033	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08000	    9	-2.48623	1.79806	0.24116	-2.42695	1.88301	0.33487	-2.50556	1.79287	0.42011	-2.37552	1.81067	0.30874	-2.57592	1.63794	0.32214	-2.63058	1.28879	0.31042	-2.63954	1.09496	0.32545	-2.38104	1.13630	0.33398	-2.44035	1.38177	0.33615	-2.44756	1.54720	0.32548	-2.64704	1.52381	0.42408	-2.51983	1.61163	0.15461	-2.52789	1.53156	0.03452	-2.49381	1.38780	-0.11724	-2.48368	1.33210	-0.07115	-2.41824	1.30712	-0.28530	-2.38735	1.26612	-0.35873	-2.33013	1.25433	-0.31835	-2.33782	1.23018	-0.40738	-2.54653	1.61914	0.47854	-2.57229	1.55359	0.59624	-2.58318	1.40943	0.75201	-2.55863	1.35397	0.70292	-2.55909	1.37348	0.84816	-2.52489	1.27779	0.99388	-2.45788	1.26637	0.96202	-2.47276	1.23736	1.04740	-2.42342	1.07826	0.20755	-2.43814	1.07724	0.46083	-2.63293	1.11186	0.27668	-2.63051	1.11807	0.37555	-2.50924	0.99893	0.14301	-2.50884	0.78389	0.14975	-2.52287	0.59017	0.18023	-2.59252	0.29360	0.15980	-2.61281	0.10816	0.18527	-2.67895	0.06415	0.24413	-2.39476	0.05810	0.25058	-2.48708	0.03414	0.15758	-2.53421	0.97664	0.52376	-2.53050	0.68207	0.51589	-2.54421	0.57326	0.50254	-2.62417	0.41937	0.53764	-2.63934	0.11298	0.50389	-2.68985	0.06344	0.44048	-2.41030	0.05915	0.47832	-2.50978	0.03284	0.56034	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09000	   10	-2.48618	1.79807	0.24116	-2.42691	1.88300	0.33493	-2.50559	1.79285	0.42010	-2.37553	1.81065	0.30877	-2.57592	1.63794	0.32216	-2.63058	1.28884	0.31043	-2.63954	1.09495	0.32545	-2.38096	1.13631	0.33398	-2.44034	1.38179	0.33616	-2.44756	1.54722	0.32549	-2.64695	1.52383	0.42408	-2.51979	1.61164	0.15461	-2.52788	1.53155	0.03454	-2.49381	1.38779	-0.11723	-2.48362	1.33207	-0.07114	-2.41825	1.30709	-0.28526	-2.38736	1.26608	-0.35870	-2.33012	1.25430	-0.31836	-2.33780	1.23013	-0.40736	-2.54655	1.61914	0.47852	-2.57224	1.55362	0.59626	-2.58316	1.40944	0.75204	-2.55864	1.35400	0.70295	-2.55911	1.37346	0.84814	-2.52486	1.27784	0.99389	-2.45787	1.26637	0.96201	-2.47280	1.23731	1.04736	-2.42338	1.07825	0.20755	-2.43810	1.07726	0.46086	-2.63291	1.11181	0.27672	-2.63052	1.11809	0.37546	-2.50922	0.99894	0.14305	-2.50884	0.78388	0.14975	-2.52285	0.59018	0.18024	-2.59252	0.29358	0.15982	-2.61277	0.10816	0.18528	-2.67897	0.06413	0.24414	-2.39475	0.05811	0.25057	-2.48706	0.03413	0.15756	-2.53422	0.97662	0.52377	-2.53049	0.68206	0.51591	-2.54422	0.57325	0.50255	-2.62417	0.41937	0.53764	-2.63940	0.11297	0.50384	-2.68983	0.06343	0.44049	-2.41029	0.05916	0.47830	-2.50980	0.03283	0.56033	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.10000	   11	-2.48616	1.79806	0.24121	-2.42683	1.88298	0.33493	-2.50559	1.79285	0.42010	-2.37546	1.81064	0.30883	-2.57589	1.63794	0.32225	-2.63055	1.28878	0.31049	-2.63943	1.09496	0.32551	-2.38088	1.13627	0.33402	-2.44028	1.38182	0.33620	-2.44751	1.54724	0.32554	-2.64698	1.52383	0.42413	-2.51975	1.61165	0.15466	-2.52784	1.53154	0.03455	-2.49379	1.38779	-0.11720	-2.48356	1.33204	-0.07109	-2.41821	1.30703	-0.28520	-2.38733	1.26604	-0.35866	-2.33012	1.25424	-0.31830	-2.33783	1.23007	-0.40733	-2.54649	1.61916	0.47859	-2.57216	1.55366	0.59628	-2.58318	1.40946	0.75207	-2.55861	1.35398	0.70300	-2.55907	1.37349	0.84818	-2.52480	1.27784	0.99391	-2.45784	1.26636	0.96201	-2.47273	1.23732	1.04738	-2.42336	1.07825	0.20757	-2.43807	1.07724	0.46091	-2.63288	1.11180	0.27677	-2.63047	1.11809	0.37550	-2.50921	0.99890	0.14311	-2.50882	0.78388	0.14981	-2.52285	0.59017	0.18027	-2.59252	0.29358	0.15982	-2.61278	0.10817	0.18530	-2.67901	0.06414	0.24410	-2.39476	0.05810	0.25058	-2.48706	0.03414	0.15755	-2.53419	0.97664	0.52384	-2.53047	0.68208	0.51594	-2.54423	0.57324	0.50259	-2.62415	0.41934	0.53768	-2.63933	0.11301	0.50388	-2.68985	0.06345	0.44049	-2.41030	0.05915	0.47831	-2.50979	0.03287	0.56035	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.11000	   12	-2.48611	1.79805	0.24123	-2.42680	1.88297	0.33496	-2.50555	1.79286	0.42014	-2.37545	1.81062	0.30880	-2.57589	1.63795	0.32222	-2.63054	1.28878	0.31048	-2.63939	1.09492	0.32558	-2.38081	1.13629	0.33403	-2.44024	1.38184	0.33623	-2.44751	1.54726	0.32554	-2.64695	1.52383	0.42409	-2.51974	1.61163	0.15469	-2.52783	1.53153	0.03458	-2.49379	1.38777	-0.11720	-2.48356	1.33203	-0.07109	-2.41820	1.30704	-0.28518	-2.38732	1.26601	-0.35863	-2.33009	1.25421	-0.31829	-2.33781	1.23000	-0.40728	-2.54649	1.61916	0.47859	-2.57217	1.55366	0.59628	-2.58316	1.40949	0.75209	-2.55862	1.35404	0.70307	-2.55906	1.37348	0.84817	-2.52474	1.27785	0.99396	-2.45781	1.26637	0.96202	-2.47267	1.23732	1.04738	-2.42332	1.07826	0.20763	-2.43804	1.07726	0.46090	-2.63287	1.11187	0.27680	-2.63047	1.11808	0.37552	-2.50918	0.99894	0.14310	-2.50875	0.78392	0.14979	-2.52282	0.59018	0.18031	-2.59250	0.29358	0.15983	-2.61278	0.10817	0.18533	-2.67902	0.06413	0.24410	-2.39474	0.05812	0.25056	-2.48708	0.03414	0.15758	-2.53417	0.97668	0.52385	-2.53046	0.68209	0.51596	-2.54422	0.57325	0.50261	-2.62414	0.41937	0.53770	-2.63937	0.11301	0.50388	-2.68984	0.06346	0.44050	-2.41030	0.05916	0.47832	-2.50979	0.03284	0.56033	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.12000	   13	-2.48608	1.79804	0.24125	-2.42674	1.88297	0.33497	-2.50549	1.79287	0.42018	-2.37541	1.81062	0.30885	-2.57588	1.63796	0.32223	-2.63055	1.28880	0.31047	-2.63939	1.09492	0.32558	-2.38075	1.13629	0.33406	-2.44019	1.38188	0.33627	-2.44748	1.54730	0.32556	-2.64693	1.52381	0.42416	-2.51974	1.61165	0.15470	-2.52779	1.53154	0.03460	-2.49371	1.38778	-0.11719	-2.48351	1.33202	-0.07110	-2.41816	1.30701	-0.28513	-2.38731	1.26598	-0.35858	-2.33006	1.25418	-0.31824	-2.33779	1.22999	-0.40725	-2.54651	1.61917	0.47860	-2.57216	1.55365	0.59631	-2.58317	1.40943	0.75203	-2.55862	1.35401	0.70306	-2.55902	1.37347	0.84819	-2.52469	1.27784	0.99394	-2.45777	1.26637	0.96200	-2.47264	1.23732	1.04736	-2.42334	1.07827	0.20768	-2.43802	1.07727	0.46099	-2.63286	1.11186	0.27685	-2.63044	1.11807	0.37545	-2.50912	0.99893	0.14313	-2.50873	0.78390	0.14982	-2.52283	0.59016	0.18034	-2.59249	0.29360	0.15985	-2.61277	0.10819	0.18531	-2.67895	0.06414	0.24416	-2.39477	0.05811	0.25056	-2.48708	0.03414	0.15760	-2.53416	0.97666	0.52390	-2.53051	0.68208	0.51601	-2.54420	0.57327	0.50264	-2.62410	0.41939	0.53775	-2.63934	0.11299	0.50387	-2.68984	0.06346	0.44051	-2.41030	0.05914	0.47835	-2.50978	0.03285	0.56036	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.13000	   14	-2.48609	1.79804	0.24128	-2.42669	1.88296	0.33496	-2.50544	1.79287	0.42023	-2.37539	1.81060	0.30885	-2.57584	1.63795	0.32226	-2.63051	1.28885	0.31059	-2.63934	1.09489	0.32577	-2.38066	1.13630	0.33410	-2.44013	1.38190	0.33631	-2.44744	1.54734	0.32560	-2.64692	1.52382	0.42420	-2.51973	1.61165	0.15473	-2.52781	1.53152	0.03461	-2.49371	1.38776	-0.11719	-2.48346	1.33199	-0.07103	-2.41812	1.30699	-0.28509	-2.38727	1.26596	-0.35853	-2.33004	1.25413	-0.31819	-2.33780	1.22993	-0.40720	-2.54647	1.61917	0.47862	-2.57210	1.55368	0.59632	-2.58316	1.40942	0.75206	-2.55861	1.35401	0.70302	-2.55903	1.37347	0.84818	-2.52468	1.27781	0.99394	-2.45777	1.26636	0.96201	-2.47260	1.23731	1.04737	-2.42332	1.07825	0.20776	-2.43800	1.07728	0.46103	-2.63282	1.11190	0.27686	-2.63047	1.11808	0.37553	-2.50909	0.99892	0.14319	-2.50868	0.78388	0.14989	-2.52278	0.59019	0.18038	-2.59251	0.29359	0.15988	-2.61280	0.10817	0.18536	-2.67895	0.06415	0.24417	-2.39477	0.05809	0.25059	-2.48708	0.03413	0.15760	-2.53417	0.97666	0.52393	-2.53057	0.68203	0.51608	-2.54418	0.57328	0.50269	-2.62408	0.41940	0.53777	-2.63937	0.11299	0.50388	-2.68985	0.06346	0.44051	-2.41031	0.05915	0.47834	-2.50977	0.03284	0.56036	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
