TimeStamp,FrameNumber,TreadmillSpeed,LHEAD.PosX,LHEAD.PosY,LHEAD.PosZ,THEAD.PosX,THEAD.PosY,THEAD.PosZ,RHEAD.PosX,RHEAD.PosY,RHEAD.PosZ,FHEAD.PosX,FHEAD.PosY,FHEAD.PosZ,C7.PosX,C7.PosY,C7.PosZ,T10.PosX,T10.PosY,T10.PosZ,SACR.PosX,SACR.PosY,SACR.PosZ,NAVE.PosX,NAVE.PosY,NAVE.PosZ,XYPH.PosX,XYPH.PosY,XYPH.PosZ,STRN.PosX,STRN.PosY,STRN.PosZ,BBAC.PosX,BBAC.PosY,BBAC.PosZ,LSHO.PosX,LSHO.PosY,LSHO.PosZ,LDELT.PosX,LDELT.PosY,LDELT.PosZ,LLEE.PosX,LLEE.PosY,LLEE.PosZ,LMEE.PosX,LMEE.PosY,LMEE.PosZ,LFRM.PosX,LFRM.PosY,LFRM.PosZ,LMW.PosX,LMW.PosY,LMW.PosZ,LLW.PosX,LLW.PosY,LLW.PosZ,LFIN.PosX,LFIN.PosY,LFIN.PosZ,RSHO.PosX,RSHO.PosY,RSHO.PosZ,RDELT.PosX,RDELT.PosY,RDELT.PosZ,RLEE.PosX,RLEE.PosY,RLEE.PosZ,RMEE.PosX,RMEE.PosY,RMEE.PosZ,RFRM.PosX,RFRM.PosY,RFRM.PosZ,RMW.PosX,RMW.PosY,RMW.PosZ,RLW.PosX,RLW.PosY,RLW.PosZ,RFIN.PosX,RFIN.PosY,RFIN.PosZ,LASIS.PosX,LASIS.PosY,LASIS.PosZ,RASIS.PosX,RASIS.PosY,RASIS.PosZ,LPSIS.PosX,LPSIS.PosY,LPSIS.PosZ,RPSIS.PosX,RPSIS.PosY,RPSIS.PosZ,LGTRO.PosX,LGTRO.PosY,LGTRO.PosZ,FLTHI.PosX,FLTHI.PosY,FLTHI.PosZ,LLEK.PosX,LLEK.PosY,LLEK.PosZ,LATI.PosX,LATI.PosY,LATI.PosZ,LLM.PosX,LLM.PosY,LLM.PosZ,LHEE.PosX,LHEE.PosY,LHEE.PosZ,LTOE.PosX,LTOE.PosY,LTOE.PosZ,LMT5.PosX,LMT5.PosY,LMT5.PosZ,RGTRO.PosX,RGTRO.PosY,RGTRO.PosZ,FRTHI.PosX,FRTHI.PosY,FRTHI.PosZ,RLEK.PosX,RLEK.PosY,RLEK.PosZ,RATI.PosX,RATI.PosY,RATI.PosZ,RLM.PosX,RLM.PosY,RLM.PosZ,RHEE.PosX,RHEE.PosY,RHEE.PosZ,RTOE.PosX,RTOE.PosY,RTOE.PosZ,RMT5.PosX,RMT5.PosY,RMT5.PosZ,FP1.CopX,FP1.CopY,FP1.CopZ,FP1.ForX,FP1.ForY,FP1.ForZ,FP1.MomX,FP1.MomY,FP1.MomZ,FP2.CopX,FP2.CopY,FP2.CopZ,FP2.ForX,FP2.ForY,FP2.ForZ,FP2.MomX,FP2.MomY,FP2.MomZ
0.00000,    1,0.00000,0.50471,1.75139,0.15532,0.57094,1.84903,0.24186,0.49703,1.76812,0.34559,0.60822,1.76533,0.21459,0.40540,1.56907,0.25888,0.38224,1.24865,0.26089,0.35975,1.08425,0.25613,0.63165,1.10031,0.24705,0.61234,1.32879,0.25395,0.58092,1.47545,0.25650,0.34310,1.40656,0.37285,0.44968,1.55603,0.07450,0.45517,1.45102,-0.04888,0.46022,1.31803,-0.17137,0.47761,1.27132,-0.11255,0.48981,1.20533,-0.31568,0.50285,1.12968,-0.38106,0.58054,1.12490,-0.35123,0.55839,1.08250,-0.43806,0.46386,1.56447,0.42751,0.44191,1.45662,0.56616,0.45645,1.33431,0.70495,0.45811,1.28097,0.63961,0.46168,1.27998,0.78785,0.48560,1.17081,0.91621,0.56293,1.14273,0.88886,0.53811,1.12877,0.97119,0.55275,1.06498,0.12057,0.55863,1.06672,0.38539,0.37667,1.11330,0.20408,0.37683,1.11336,0.30855,0.46125,0.97192,0.07151,0.46764,0.79976,0.07719,0.47735,0.56733,0.10109,0.41448,0.24637,0.10510,0.40169,0.10128,0.11477,0.31634,0.05502,0.15878,0.61527,0.05903,0.17075,0.51908,0.03903,0.07531,0.48388,0.98701,0.44618,0.48825,0.69706,0.43859,0.48756,0.59039,0.41735,0.42115,0.40571,0.44598,0.39424,0.10469,0.41312,0.31247,0.06143,0.36768,0.62399,0.06090,0.37371,0.51425,0.04081,0.46054,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.01000,    2,0.00000,0.50475,1.75140,0.15531,0.57099,1.84903,0.24190,0.49709,1.76810,0.34562,0.60831,1.76534,0.21462,0.40541,1.56907,0.25886,0.38227,1.24866,0.26091,0.35974,1.08425,0.25614,0.63168,1.10031,0.24706,0.61236,1.32878,0.25394,0.58094,1.47544,0.25648,0.34309,1.40657,0.37286,0.44970,1.55604,0.07451,0.45521,1.45103,-0.04888,0.46021,1.31807,-0.17139,0.47760,1.27133,-0.11255,0.48981,1.20533,-0.31567,0.50284,1.12970,-0.38108,0.58053,1.12490,-0.35125,0.55834,1.08249,-0.43806,0.46390,1.56447,0.42750,0.44193,1.45659,0.56616,0.45646,1.33431,0.70493,0.45814,1.28096,0.63959,0.46168,1.27998,0.78783,0.48560,1.17080,0.91620,0.56294,1.14273,0.88886,0.53810,1.12875,0.97118,0.55276,1.06496,0.12057,0.55863,1.06670,0.38539,0.37667,1.11330,0.20408,0.37687,1.11336,0.30855,0.46126,0.97190,0.07151,0.46767,0.79977,0.07723,0.47736,0.56733,0.10111,0.41448,0.24637,0.10510,0.40170,0.10127,0.11476,0.31634,0.05502,0.15880,0.61527,0.05901,0.17075,0.51909,0.03903,0.07531,0.48387,0.98701,0.44617,0.48821,0.69705,0.43858,0.48755,0.59040,0.41733,0.42116,0.40571,0.44598,0.39424,0.10469,0.41313,0.31247,0.06142,0.36769,0.62401,0.06091,0.37370,0.51425,0.04082,0.46054,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.02000,    3,0.00000,0.50480,1.75141,0.15535,0.57104,1.84902,0.24195,0.49713,1.76807,0.34565,0.60832,1.76533,0.21463,0.40543,1.56907,0.25887,0.38226,1.24866,0.26087,0.35977,1.08427,0.25614,0.63168,1.10029,0.24706,0.61240,1.32877,0.25393,0.58096,1.47544,0.25649,0.34311,1.40657,0.37283,0.44974,1.55603,0.07449,0.45523,1.45104,-0.04891,0.46020,1.31808,-0.17140,0.47760,1.27132,-0.11255,0.48978,1.20534,-0.31570,0.50285,1.12971,-0.38107,0.58051,1.12491,-0.35128,0.55830,1.08250,-0.43811,0.46391,1.56446,0.42748,0.44196,1.45657,0.56616,0.45643,1.33430,0.70493,0.45816,1.28096,0.63960,0.46167,1.27998,0.78784,0.48558,1.17076,0.91618,0.56289,1.14269,0.88884,0.53807,1.12871,0.97117,0.55278,1.06495,0.12054,0.55863,1.06669,0.38539,0.37668,1.11331,0.20408,0.37689,1.11337,0.30854,0.46124,0.97192,0.07152,0.46755,0.79982,0.07722,0.47734,0.56735,0.10110,0.41450,0.24635,0.10510,0.40169,0.10127,0.11479,0.31633,0.05503,0.15880,0.61527,0.05902,0.17076,0.51909,0.03904,0.07529,0.48386,0.98701,0.44616,0.48820,0.69706,0.43860,0.48752,0.59038,0.41732,0.42112,0.40570,0.44598,0.39424,0.10469,0.41315,0.31246,0.06139,0.36770,0.62399,0.06091,0.37373,0.51425,0.04081,0.46054,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.03000,    4,0.00000,0.50482,1.75144,0.15536,0.57109,1.84902,0.24198,0.49713,1.76807,0.34565,0.60837,1.76534,0.21465,0.40547,1.56907,0.25884,0.38228,1.24866,0.26088,0.35979,1.08427,0.25613,0.63168,1.10029,0.24708,0.61241,1.32875,0.25393,0.58100,1.47543,0.25646,0.34312,1.40657,0.37283,0.44980,1.55605,0.07448,0.45527,1.45102,-0.04893,0.46023,1.31807,-0.17142,0.47760,1.27132,-0.11260,0.48976,1.20534,-0.31572,0.50280,1.12972,-0.38111,0.58044,1.12489,-0.35131,0.55828,1.08252,-0.43815,0.46394,1.56446,0.42747,0.44191,1.45655,0.56614,0.45641,1.33427,0.70489,0.45814,1.28094,0.63957,0.46165,1.27994,0.78781,0.48554,1.17074,0.91616,0.56287,1.14267,0.88882,0.53802,1.12869,0.97115,0.55279,1.06496,0.12055,0.55863,1.06668,0.38539,0.37670,1.11331,0.20407,0.37689,1.11339,0.30852,0.46129,0.97194,0.07151,0.46757,0.79981,0.07723,0.47730,0.56734,0.10108,0.41450,0.24637,0.10510,0.40168,0.10128,0.11479,0.31632,0.05504,0.15880,0.61525,0.05900,0.17075,0.51908,0.03902,0.07529,0.48386,0.98701,0.44616,0.48817,0.69706,0.43857,0.48751,0.59040,0.41734,0.42111,0.40570,0.44596,0.39424,0.10469,0.41313,0.31247,0.06138,0.36767,0.62397,0.06091,0.37372,0.51427,0.04081,0.46054,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.04000,    5,0.00000,0.50489,1.75147,0.15536,0.57113,1.84903,0.24202,0.49717,1.76806,0.34567,0.60841,1.76535,0.21469,0.40547,1.56907,0.25882,0.38229,1.24865,0.26087,0.35981,1.08430,0.25614,0.63170,1.10030,0.24709,0.61242,1.32875,0.25394,0.58103,1.47544,0.25648,0.34313,1.40658,0.37284,0.44982,1.55602,0.07448,0.45530,1.45102,-0.04895,0.46023,1.31807,-0.17144,0.47761,1.27131,-0.11261,0.48974,1.20534,-0.31574,0.50278,1.12974,-0.38112,0.58041,1.12491,-0.35134,0.55825,1.08253,-0.43819,0.46395,1.56447,0.42747,0.44190,1.45655,0.56612,0.45640,1.33423,0.70488,0.45816,1.28092,0.63955,0.46162,1.27990,0.78778,0.48553,1.17070,0.91613,0.56286,1.14265,0.88882,0.53800,1.12869,0.97115,0.55281,1.06495,0.12057,0.55863,1.06669,0.38540,0.37675,1.11330,0.20407,0.37690,1.11342,0.30852,0.46129,0.97195,0.07151,0.46755,0.79979,0.07722,0.47728,0.56735,0.10109,0.41449,0.24636,0.10511,0.40168,0.10127,0.11477,0.31632,0.05503,0.15880,0.61527,0.05903,0.17075,0.51909,0.03903,0.07529,0.48385,0.98699,0.44615,0.48812,0.69705,0.43859,0.48747,0.59042,0.41731,0.42109,0.40570,0.44597,0.39424,0.10469,0.41315,0.31248,0.06138,0.36769,0.62398,0.06092,0.37371,0.51425,0.04081,0.46055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.05000,    6,0.00000,0.50495,1.75146,0.15538,0.57115,1.84902,0.24206,0.49717,1.76806,0.34567,0.60843,1.76535,0.21471,0.40551,1.56907,0.25883,0.38233,1.24863,0.26088,0.35981,1.08432,0.25612,0.63170,1.10028,0.24709,0.61243,1.32876,0.25394,0.58103,1.47543,0.25647,0.34317,1.40658,0.37283,0.44985,1.55600,0.07446,0.45527,1.45100,-0.04897,0.46023,1.31804,-0.17145,0.47760,1.27130,-0.11262,0.48972,1.20535,-0.31575,0.50275,1.12976,-0.38117,0.58042,1.12493,-0.35141,0.55821,1.08256,-0.43823,0.46397,1.56446,0.42747,0.44190,1.45655,0.56611,0.45641,1.33419,0.70486,0.45820,1.28089,0.63952,0.46158,1.27985,0.78775,0.48550,1.17064,0.91611,0.56285,1.14263,0.88881,0.53795,1.12865,0.97111,0.55285,1.06496,0.12056,0.55865,1.06669,0.38540,0.37674,1.11332,0.20406,0.37691,1.11341,0.30852,0.46130,0.97194,0.07150,0.46755,0.79982,0.07722,0.47723,0.56735,0.10110,0.41449,0.24636,0.10511,0.40168,0.10127,0.11478,0.31632,0.05502,0.15880,0.61528,0.05904,0.17076,0.51908,0.03903,0.07531,0.48384,0.98700,0.44615,0.48811,0.69705,0.43859,0.48746,0.59042,0.41733,0.42109,0.40572,0.44596,0.39424,0.10469,0.41315,0.31245,0.06138,0.36769,0.62397,0.06092,0.37372,0.51425,0.04081,0.46055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.06000,    7,0.00000,0.50499,1.75145,0.15536,0.57119,1.84902,0.24206,0.49722,1.76807,0.34568,0.60848,1.76535,0.21472,0.40553,1.56907,0.25882,0.38236,1.24865,0.26089,0.35980,1.08432,0.25610,0.63174,1.10027,0.24709,0.61247,1.32874,0.25394,0.58107,1.47544,0.25645,0.34320,1.40658,0.37280,0.44985,1.55597,0.07446,0.45525,1.45099,-0.04896,0.46025,1.31803,-0.17147,0.47764,1.27128,-0.11266,0.48973,1.20535,-0.31581,0.50273,1.12976,-0.38122,0.58037,1.12495,-0.35146,0.55823,1.08259,-0.43830,0.46399,1.56447,0.42745,0.44189,1.45655,0.56610,0.45641,1.33417,0.70482,0.45817,1.28089,0.63948,0.46156,1.27982,0.78772,0.48547,1.17062,0.91608,0.56282,1.14261,0.88881,0.53788,1.12860,0.97109,0.55287,1.06496,0.12056,0.55863,1.06666,0.38541,0.37676,1.11331,0.20405,0.37691,1.11342,0.30851,0.46131,0.97193,0.07148,0.46760,0.79979,0.07719,0.47722,0.56734,0.10110,0.41446,0.24636,0.10511,0.40167,0.10127,0.11479,0.31631,0.05503,0.15881,0.61526,0.05901,0.17076,0.51909,0.03903,0.07530,0.48386,0.98698,0.44615,0.48809,0.69705,0.43858,0.48742,0.59040,0.41733,0.42109,0.40569,0.44595,0.39424,0.10469,0.41313,0.31249,0.06136,0.36768,0.62397,0.06093,0.37372,0.51426,0.04082,0.46055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.07000,    8,0.00000,0.50504,1.75144,0.15536,0.57124,1.84901,0.24206,0.49724,1.76807,0.34568,0.60853,1.76535,0.21473,0.40555,1.56907,0.25882,0.38240,1.24865,0.26086,0.35982,1.08432,0.25610,0.63177,1.10027,0.24710,0.61249,1.32875,0.25394,0.58108,1.47543,0.25644,0.34324,1.40657,0.37280,0.44986,1.55597,0.07444,0.45526,1.45098,-0.04896,0.46024,1.31803,-0.17148,0.47762,1.27127,-0.11270,0.48973,1.20536,-0.31582,0.50269,1.12978,-0.38126,0.58034,1.12496,-0.35150,0.55817,1.08264,-0.43835,0.46402,1.56445,0.42745,0.44191,1.45656,0.56609,0.45641,1.33417,0.70482,0.45818,1.28086,0.63947,0.46156,1.27983,0.78772,0.48542,1.17063,0.91607,0.56275,1.14255,0.88879,0.53785,1.12857,0.97108,0.55289,1.06495,0.12057,0.55867,1.06665,0.38538,0.37677,1.11332,0.20404,0.37693,1.11342,0.30850,0.46134,0.97194,0.07148,0.46760,0.79979,0.07719,0.47722,0.56733,0.10110,0.41444,0.24636,0.10511,0.40167,0.10127,0.11478,0.31632,0.05503,0.15881,0.61526,0.05901,0.17075,0.51908,0.03903,0.07529,0.48385,0.98699,0.44615,0.48809,0.69704,0.43858,0.48741,0.59039,0.41732,0.42109,0.40568,0.44595,0.39424,0.10469,0.41313,0.31245,0.06138,0.36769,0.62398,0.06092,0.37372,0.51425,0.04081,0.46055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.08000,    9,0.00000,0.50511,1.75144,0.15536,0.57128,1.84901,0.24203,0.49727,1.76806,0.34567,0.60857,1.76532,0.21472,0.40556,1.56907,0.25882,0.38240,1.24864,0.26086,0.35985,1.08431,0.25609,0.63177,1.10025,0.24710,0.61250,1.32875,0.25393,0.58110,1.47544,0.25643,0.34326,1.40657,0.37280,0.44985,1.55594,0.07444,0.45523,1.45096,-0.04898,0.46022,1.31801,-0.17151,0.47761,1.27127,-0.11272,0.48972,1.20536,-0.31583,0.50269,1.12978,-0.38129,0.58034,1.12500,-0.35154,0.55815,1.08266,-0.43839,0.46403,1.56445,0.42745,0.44196,1.45656,0.56607,0.45641,1.33417,0.70480,0.45822,1.28085,0.63948,0.46155,1.27985,0.78772,0.48539,1.17063,0.91607,0.56269,1.14252,0.88875,0.53782,1.12852,0.97106,0.55290,1.06493,0.12056,0.55869,1.06664,0.38539,0.37680,1.11331,0.20402,0.37695,1.11341,0.30847,0.46135,0.97194,0.07146,0.46759,0.79978,0.07719,0.47722,0.56732,0.10110,0.41442,0.24637,0.10511,0.40167,0.10127,0.11478,0.31632,0.05503,0.15879,0.61526,0.05903,0.17075,0.51909,0.03900,0.07530,0.48385,0.98699,0.44615,0.48807,0.69703,0.43858,0.48742,0.59040,0.41733,0.42109,0.40569,0.44596,0.39423,0.10468,0.41313,0.31246,0.06137,0.36770,0.62398,0.06092,0.37372,0.51425,0.04080,0.46055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.09000,   10,0.00000,0.50512,1.75143,0.15533,0.57132,1.84900,0.24204,0.49729,1.76808,0.34567,0.60857,1.76531,0.21471,0.40556,1.56907,0.25882,0.38244,1.24864,0.26085,0.35985,1.08431,0.25608,0.63180,1.10024,0.24706,0.61253,1.32875,0.25392,0.58114,1.47542,0.25643,0.34329,1.40656,0.37276,0.44989,1.55593,0.07442,0.45524,1.45098,-0.04898,0.46022,1.31802,-0.17151,0.47762,1.27127,-0.11272,0.48969,1.20540,-0.31586,0.50268,1.12981,-0.38130,0.58029,1.12502,-0.35155,0.55814,1.08268,-0.43841,0.46408,1.56447,0.42745,0.44197,1.45655,0.56607,0.45641,1.33421,0.70479,0.45822,1.28088,0.63945,0.46156,1.27986,0.78769,0.48536,1.17063,0.91604,0.56272,1.14252,0.88876,0.53776,1.12848,0.97105,0.55289,1.06494,0.12053,0.55870,1.06665,0.38539,0.37684,1.11331,0.20401,0.37697,1.11341,0.30847,0.46135,0.97194,0.07146,0.46757,0.79979,0.07715,0.47721,0.56733,0.10109,0.41445,0.24635,0.10510,0.40167,0.10126,0.11477,0.31631,0.05501,0.15879,0.61526,0.05904,0.17076,0.51909,0.03903,0.07530,0.48385,0.98700,0.44614,0.48808,0.69706,0.43859,0.48742,0.59040,0.41730,0.42109,0.40570,0.44595,0.39425,0.10468,0.41312,0.31247,0.06136,0.36767,0.62397,0.06092,0.37370,0.51424,0.04081,0.46054,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.10000,   11,0.00000,0.50516,1.75143,0.15532,0.57134,1.84897,0.24202,0.49733,1.76808,0.34566,0.60858,1.76528,0.21471,0.40561,1.56906,0.25879,0.38244,1.24864,0.26082,0.35988,1.08430,0.25607,0.63181,1.10023,0.24705,0.61255,1.32875,0.25393,0.58114,1.47541,0.25643,0.34330,1.40658,0.37276,0.44988,1.55595,0.07443,0.45524,1.45099,-0.04899,0.46022,1.31806,-0.17152,0.47762,1.27130,-0.11275,0.48970,1.20541,-0.31587,0.50267,1.12984,-0.38134,0.58028,1.12503,-0.35158,0.55813,1.08270,-0.43846,0.46410,1.56447,0.42745,0.44200,1.45656,0.56608,0.45641,1.33419,0.70477,0.45822,1.28088,0.63947,0.46154,1.27986,0.78769,0.48530,1.17062,0.91606,0.56259,1.14247,0.88875,0.53767,1.12846,0.97105,0.55289,1.06492,0.12050,0.55871,1.06666,0.38538,0.37684,1.11331,0.20401,0.37697,1.11341,0.30846,0.46135,0.97193,0.07142,0.46762,0.79977,0.07712,0.47724,0.56732,0.10107,0.41445,0.24637,0.10511,0.40167,0.10127,0.11477,0.31633,0.05501,0.15877,0.61526,0.05903,0.17075,0.51909,0.03904,0.07529,0.48390,0.98697,0.44613,0.48808,0.69705,0.43858,0.48744,0.59039,0.41733,0.42107,0.40569,0.44595,0.39423,0.10468,0.41311,0.31248,0.06136,0.36767,0.62398,0.06093,0.37368,0.51424,0.04081,0.46055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.11000,   12,0.00000,0.50519,1.75141,0.15530,0.57140,1.84896,0.24201,0.49736,1.76807,0.34564,0.60862,1.76526,0.21467,0.40565,1.56905,0.25880,0.38247,1.24862,0.26082,0.35990,1.08430,0.25607,0.63183,1.10023,0.24703,0.61255,1.32873,0.25392,0.58117,1.47541,0.25644,0.34335,1.40657,0.37275,0.44989,1.55592,0.07442,0.45524,1.45098,-0.04897,0.46022,1.31805,-0.17154,0.47762,1.27130,-0.11274,0.48965,1.20543,-0.31588,0.50262,1.12986,-0.38138,0.58024,1.12502,-0.35161,0.55812,1.08270,-0.43847,0.46412,1.56445,0.42748,0.44201,1.45654,0.56608,0.45640,1.33418,0.70479,0.45824,1.28086,0.63947,0.46151,1.27984,0.78768,0.48524,1.17060,0.91606,0.56279,1.14252,0.88879,0.53761,1.12843,0.97106,0.55289,1.06492,0.12050,0.55874,1.06665,0.38535,0.37687,1.11329,0.20400,0.37698,1.11340,0.30845,0.46137,0.97193,0.07141,0.46761,0.79974,0.07714,0.47723,0.56731,0.10107,0.41448,0.24634,0.10509,0.40168,0.10126,0.11477,0.31632,0.05503,0.15879,0.61526,0.05904,0.17074,0.51908,0.03901,0.07531,0.48392,0.98697,0.44612,0.48810,0.69705,0.43857,0.48746,0.59039,0.41729,0.42110,0.40569,0.44596,0.39423,0.10468,0.41311,0.31248,0.06136,0.36769,0.62398,0.06092,0.37368,0.51424,0.04079,0.46055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.12000,   13,0.00000,0.50519,1.75138,0.15528,0.57142,1.84896,0.24197,0.49742,1.76808,0.34563,0.60866,1.76525,0.21463,0.40569,1.56904,0.25881,0.38247,1.24862,0.26081,0.35992,1.08430,0.25606,0.63190,1.10022,0.24701,0.61258,1.32872,0.25395,0.58119,1.47540,0.25643,0.34334,1.40658,0.37277,0.44993,1.55593,0.07442,0.45523,1.45099,-0.04897,0.46019,1.31807,-0.17154,0.47758,1.27131,-0.11278,0.48964,1.20545,-0.31591,0.50259,1.12988,-0.38141,0.58022,1.12506,-0.35161,0.55809,1.08271,-0.43849,0.46414,1.56445,0.42746,0.44201,1.45654,0.56608,0.45638,1.33416,0.70478,0.45825,1.28084,0.63945,0.46146,1.27979,0.78769,0.48516,1.17057,0.91604,0.56259,1.14247,0.88879,0.53752,1.12842,0.97107,0.55292,1.06490,0.12046,0.55876,1.06664,0.38533,0.37687,1.11330,0.20398,0.37701,1.11341,0.30846,0.46137,0.97191,0.07140,0.46766,0.79974,0.07711,0.47727,0.56730,0.10106,0.41451,0.24635,0.10508,0.40168,0.10126,0.11477,0.31633,0.05503,0.15877,0.61527,0.05904,0.17074,0.51908,0.03903,0.07529,0.48397,0.98696,0.44610,0.48813,0.69706,0.43857,0.48750,0.59036,0.41728,0.42109,0.40568,0.44595,0.39423,0.10467,0.41311,0.31247,0.06135,0.36768,0.62399,0.06091,0.37369,0.51424,0.04079,0.46054,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.13000,   14,0.00000,0.50519,1.75138,0.15526,0.57143,1.84896,0.24193,0.49747,1.76809,0.34561,0.60868,1.76523,0.21462,0.40571,1.56905,0.25881,0.38248,1.24863,0.26082,0.35991,1.08427,0.25604,0.63189,1.10021,0.24699,0.61258,1.32870,0.25395,0.58121,1.47540,0.25646,0.34333,1.40659,0.37277,0.44996,1.55593,0.07443,0.45528,1.45100,-0.04897,0.46017,1.31808,-0.17155,0.47759,1.27129,-0.11279,0.48961,1.20547,-0.31591,0.50256,1.12991,-0.38141,0.58019,1.12505,-0.35166,0.55803,1.08274,-0.43850,0.46415,1.56446,0.42747,0.44201,1.45653,0.56609,0.45634,1.33414,0.70477,0.45820,1.28083,0.63945,0.46143,1.27977,0.78767,0.48511,1.17054,0.91603,0.56274,1.14250,0.88884,0.53745,1.12842,0.97110,0.55291,1.06491,0.12047,0.55878,1.06664,0.38531,0.37688,1.11327,0.20398,0.37701,1.11341,0.30846,0.46138,0.97190,0.07141,0.46766,0.79974,0.07711,0.47732,0.56730,0.10106,0.41450,0.24636,0.10507,0.40168,0.10126,0.11477,0.31632,0.05501,0.15878,0.61525,0.05902,0.17074,0.51909,0.03903,0.07529,0.48398,0.98697,0.44611,0.48815,0.69705,0.43855,0.48753,0.59037,0.41729,0.42113,0.40570,0.44595,0.39423,0.10468,0.41311,0.31248,0.06135,0.36768,0.62398,0.06093,0.37368,0.51424,0.04080,0.46054,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.14000,   15,0.00000,0.50518,1.75134,0.15526,0.57148,1.84896,0.24188,0.49751,1.76810,0.34562,0.60869,1.76524,0.21458,0.40572,1.56905,0.25883,0.38249,1.24863,0.26084,0.35991,1.08427,0.25606,0.63196,1.10022,0.24697,0.61258,1.32870,0.25395,0.58123,1.47538,0.25646,0.34333,1.40658,0.37281,0.44998,1.55593,0.07446,0.45528,1.45098,-0.04896,0.46020,1.31806,-0.17154,0.47761,1.27130,-0.11276,0.48958,1.20548,-0.31591,0.50259,1.12992,-0.38141,0.58018,1.12510,-0.35166,0.55801,1.08276,-0.43851,0.46416,1.56445,0.42750,0.44198,1.45650,0.56611,0.45634,1.33411,0.70479,0.45823,1.28080,0.63946,0.46139,1.27975,0.78770,0.48504,1.17051,0.91605,0.56273,1.14249,0.88886,0.53738,1.12842,0.97112,0.55293,1.06491,0.12045,0.55878,1.06664,0.38530,0.37691,1.11327,0.20400,0.37703,1.11337,0.30844,0.46143,0.97189,0.07139,0.46766,0.79974,0.07711,0.47735,0.56729,0.10105,0.41450,0.24636,0.10507,0.40167,0.10127,0.11478,0.31634,0.05501,0.15876,0.61526,0.05903,0.17074,0.51909,0.03903,0.07530,0.48402,0.98697,0.44609,0.48817,0.69705,0.43856,0.48756,0.59036,0.41729,0.42118,0.40571,0.44595,0.39424,0.10469,0.41313,0.31248,0.06135,0.36768,0.62398,0.06092,0.37368,0.51424,0.04080,0.46055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
