TimeStamp,FrameNumber,TreadmillSpeed,LHEAD.PosX,LHEAD.PosY,LHEAD.PosZ,THEAD.PosX,THEAD.PosY,THEAD.PosZ,RHEAD.PosX,RHEAD.PosY,RHEAD.PosZ,FHEAD.PosX,FHEAD.PosY,FHEAD.PosZ,C7.PosX,C7.PosY,C7.PosZ,T10.PosX,T10.PosY,T10.PosZ,SACR.PosX,SACR.PosY,SACR.PosZ,NAVE.PosX,NAVE.PosY,NAVE.PosZ,XYPH.PosX,XYPH.PosY,XYPH.PosZ,STRN.PosX,STRN.PosY,STRN.PosZ,BBAC.PosX,BBAC.PosY,BBAC.PosZ,LSHO.PosX,LSHO.PosY,LSHO.PosZ,LDELT.PosX,LDELT.PosY,LDELT.PosZ,LLEE.PosX,LLEE.PosY,LLEE.PosZ,LMEE.PosX,LMEE.PosY,LMEE.PosZ,LFRM.PosX,LFRM.PosY,LFRM.PosZ,LMW.PosX,LMW.PosY,LMW.PosZ,LLW.PosX,LLW.PosY,LLW.PosZ,LFIN.PosX,LFIN.PosY,LFIN.PosZ,RSHO.PosX,RSHO.PosY,RSHO.PosZ,RDELT.PosX,RDELT.PosY,RDELT.PosZ,RLEE.PosX,RLEE.PosY,RLEE.PosZ,RMEE.PosX,RMEE.PosY,RMEE.PosZ,RFRM.PosX,RFRM.PosY,RFRM.PosZ,RMW.PosX,RMW.PosY,RMW.PosZ,RLW.PosX,RLW.PosY,RLW.PosZ,RFIN.PosX,RFIN.PosY,RFIN.PosZ,LASIS.PosX,LASIS.PosY,LASIS.PosZ,RASIS.PosX,RASIS.PosY,RASIS.PosZ,LPSIS.PosX,LPSIS.PosY,LPSIS.PosZ,RPSIS.PosX,RPSIS.PosY,RPSIS.PosZ,LGTRO.PosX,LGTRO.PosY,LGTRO.PosZ,FLTHI.PosX,FLTHI.PosY,FLTHI.PosZ,LLEK.PosX,LLEK.PosY,LLEK.PosZ,LATI.PosX,LATI.PosY,LATI.PosZ,LLM.PosX,LLM.PosY,LLM.PosZ,LHEE.PosX,LHEE.PosY,LHEE.PosZ,LTOE.PosX,LTOE.PosY,LTOE.PosZ,LMT5.PosX,LMT5.PosY,LMT5.PosZ,RGTRO.PosX,RGTRO.PosY,RGTRO.PosZ,FRTHI.PosX,FRTHI.PosY,FRTHI.PosZ,RLEK.PosX,RLEK.PosY,RLEK.PosZ,RATI.PosX,RATI.PosY,RATI.PosZ,RLM.PosX,RLM.PosY,RLM.PosZ,RHEE.PosX,RHEE.PosY,RHEE.PosZ,RTOE.PosX,RTOE.PosY,RTOE.PosZ,RMT5.PosX,RMT5.PosY,RMT5.PosZ,FP1.CopX,FP1.CopY,FP1.CopZ,FP1.ForX,FP1.ForY,FP1.ForZ,FP1.MomX,FP1.MomY,FP1.MomZ,FP2.CopX,FP2.CopY,FP2.CopZ,FP2.ForX,FP2.ForY,FP2.ForZ,FP2.MomX,FP2.MomY,FP2.MomZ
0.00000,    1,0.00000,0.67016,1.74440,0.16229,0.73033,1.82216,0.26807,0.65630,1.74649,0.34734,0.78611,1.73511,0.23206,0.58890,1.54902,0.25038,0.52630,1.18413,0.24957,0.52271,0.99980,0.25353,0.77461,1.05264,0.27759,0.76758,1.30081,0.26155,0.72531,1.49117,0.25644,0.49999,1.35680,0.30401,0.62791,1.54132,0.09033,0.57738,1.40717,-0.02937,0.55406,1.28170,-0.09362,0.59218,1.23348,-0.03836,0.59450,1.22610,-0.20490,0.60951,1.12438,-0.30317,0.67882,1.10766,-0.27944,0.65614,1.08510,-0.35800,0.61284,1.54473,0.39883,0.57127,1.42481,0.52712,0.55177,1.30143,0.60794,0.59208,1.24847,0.56492,0.56053,1.24558,0.71253,0.56314,1.12772,0.82364,0.63365,1.12078,0.80244,0.59733,1.09184,0.87959,0.73196,0.99304,0.13479,0.70954,0.98895,0.41065,0.53222,1.02520,0.20492,0.52914,1.02609,0.29693,0.66137,0.93427,0.07391,0.67080,0.71591,0.08402,0.63333,0.53553,0.12259,0.59111,0.27605,0.12195,0.59857,0.10204,0.14362,0.53313,0.04649,0.18825,0.82400,0.04980,0.20007,0.73098,0.04372,0.10579,0.64846,0.93086,0.45664,0.63857,0.64374,0.44482,0.62388,0.52967,0.41769,0.58614,0.34782,0.44312,0.59449,0.10139,0.41346,0.52647,0.04929,0.36680,0.82050,0.06035,0.38076,0.70448,0.03795,0.46168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.01000,    2,0.00000,0.67013,1.74442,0.16227,0.73030,1.82216,0.26808,0.65624,1.74649,0.34734,0.78606,1.73510,0.23209,0.58887,1.54901,0.25037,0.52627,1.18414,0.24951,0.52272,0.99978,0.25351,0.77462,1.05264,0.27755,0.76758,1.30081,0.26155,0.72526,1.49118,0.25642,0.49998,1.35679,0.30395,0.62791,1.54133,0.09030,0.57734,1.40722,-0.02940,0.55407,1.28176,-0.09364,0.59214,1.23351,-0.03839,0.59452,1.22610,-0.20493,0.60945,1.12440,-0.30323,0.67875,1.10766,-0.27948,0.65610,1.08510,-0.35804,0.61277,1.54471,0.39881,0.57123,1.42479,0.52709,0.55177,1.30143,0.60794,0.59211,1.24845,0.56491,0.56055,1.24559,0.71254,0.56321,1.12776,0.82368,0.63372,1.12083,0.80248,0.59741,1.09190,0.87962,0.73188,0.99303,0.13477,0.70950,0.98893,0.41059,0.53221,1.02520,0.20491,0.52913,1.02609,0.29691,0.66128,0.93425,0.07387,0.67072,0.71589,0.08401,0.63328,0.53552,0.12256,0.59110,0.27605,0.12195,0.59857,0.10206,0.14361,0.53312,0.04651,0.18824,0.82400,0.04979,0.20006,0.73096,0.04373,0.10578,0.64844,0.93085,0.45660,0.63855,0.64376,0.44480,0.62385,0.52966,0.41765,0.58614,0.34783,0.44311,0.59450,0.10143,0.41345,0.52646,0.04927,0.36678,0.82049,0.06035,0.38078,0.70448,0.03795,0.46167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.02000,    3,0.00000,0.67012,1.74443,0.16227,0.73023,1.82216,0.26808,0.65615,1.74648,0.34731,0.78606,1.73510,0.23212,0.58887,1.54900,0.25037,0.52627,1.18413,0.24947,0.52268,0.99978,0.25352,0.77453,1.05260,0.27747,0.76754,1.30081,0.26151,0.72524,1.49116,0.25640,0.49992,1.35676,0.30392,0.62790,1.54134,0.09031,0.57737,1.40724,-0.02944,0.55411,1.28177,-0.09367,0.59216,1.23355,-0.03843,0.59450,1.22613,-0.20497,0.60939,1.12442,-0.30324,0.67872,1.10767,-0.27952,0.65600,1.08508,-0.35807,0.61272,1.54468,0.39879,0.57115,1.42476,0.52707,0.55175,1.30137,0.60792,0.59205,1.24844,0.56492,0.56055,1.24560,0.71255,0.56328,1.12777,0.82370,0.63377,1.12088,0.80249,0.59752,1.09195,0.87966,0.73187,0.99302,0.13473,0.70949,0.98894,0.41056,0.53218,1.02518,0.20490,0.52907,1.02608,0.29691,0.66124,0.93424,0.07385,0.67063,0.71588,0.08399,0.63323,0.53550,0.12254,0.59105,0.27604,0.12193,0.59856,0.10204,0.14362,0.53311,0.04651,0.18826,0.82401,0.04982,0.20006,0.73095,0.04373,0.10579,0.64842,0.93085,0.45658,0.63854,0.64372,0.44479,0.62385,0.52967,0.41764,0.58613,0.34785,0.44311,0.59450,0.10142,0.41347,0.52647,0.04928,0.36681,0.82046,0.06033,0.38078,0.70450,0.03794,0.46167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.03000,    4,0.00000,0.67013,1.74446,0.16226,0.73020,1.82216,0.26814,0.65608,1.74648,0.34730,0.78600,1.73512,0.23216,0.58884,1.54900,0.25034,0.52624,1.18415,0.24945,0.52265,0.99977,0.25349,0.77457,1.05259,0.27741,0.76755,1.30081,0.26148,0.72521,1.49115,0.25640,0.49988,1.35675,0.30390,0.62789,1.54135,0.09029,0.57738,1.40725,-0.02946,0.55410,1.28179,-0.09369,0.59213,1.23356,-0.03845,0.59448,1.22614,-0.20501,0.60934,1.12439,-0.30327,0.67868,1.10767,-0.27958,0.65590,1.08506,-0.35809,0.61269,1.54466,0.39877,0.57111,1.42474,0.52703,0.55175,1.30137,0.60792,0.59206,1.24844,0.56492,0.56057,1.24560,0.71255,0.56335,1.12781,0.82375,0.63386,1.12094,0.80251,0.59763,1.09199,0.87972,0.73181,0.99301,0.13468,0.70948,0.98893,0.41051,0.53215,1.02518,0.20489,0.52905,1.02607,0.29689,0.66120,0.93424,0.07381,0.67055,0.71591,0.08396,0.63327,0.53546,0.12257,0.59104,0.27601,0.12194,0.59856,0.10203,0.14361,0.53314,0.04650,0.18823,0.82400,0.04980,0.20006,0.73096,0.04372,0.10578,0.64840,0.93084,0.45655,0.63853,0.64374,0.44476,0.62383,0.52968,0.41761,0.58610,0.34782,0.44308,0.59448,0.10139,0.41345,0.52646,0.04927,0.36680,0.82048,0.06033,0.38077,0.70449,0.03793,0.46167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.04000,    5,0.00000,0.67008,1.74447,0.16230,0.73012,1.82216,0.26817,0.65600,1.74645,0.34735,0.78596,1.73513,0.23220,0.58882,1.54901,0.25032,0.52621,1.18414,0.24940,0.52262,0.99976,0.25345,0.77449,1.05256,0.27734,0.76751,1.30081,0.26147,0.72516,1.49117,0.25640,0.49986,1.35676,0.30389,0.62785,1.54138,0.09027,0.57736,1.40729,-0.02952,0.55410,1.28180,-0.09371,0.59218,1.23358,-0.03847,0.59442,1.22615,-0.20504,0.60928,1.12439,-0.30330,0.67864,1.10767,-0.27962,0.65581,1.08507,-0.35813,0.61265,1.54464,0.39875,0.57108,1.42472,0.52702,0.55173,1.30138,0.60793,0.59203,1.24845,0.56492,0.56059,1.24563,0.71259,0.56345,1.12786,0.82383,0.63395,1.12099,0.80254,0.59775,1.09208,0.87975,0.73178,0.99299,0.13466,0.70945,0.98892,0.41048,0.53208,1.02519,0.20486,0.52901,1.02608,0.29686,0.66116,0.93424,0.07378,0.67050,0.71592,0.08394,0.63319,0.53551,0.12252,0.59103,0.27604,0.12192,0.59855,0.10203,0.14362,0.53312,0.04650,0.18825,0.82400,0.04979,0.20006,0.73096,0.04371,0.10579,0.64835,0.93085,0.45651,0.63849,0.64375,0.44472,0.62381,0.52965,0.41757,0.58608,0.34784,0.44305,0.59449,0.10141,0.41344,0.52643,0.04930,0.36681,0.82048,0.06037,0.38077,0.70449,0.03795,0.46168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.05000,    6,0.00000,0.67005,1.74450,0.16235,0.73007,1.82218,0.26823,0.65595,1.74644,0.34736,0.78588,1.73516,0.23224,0.58876,1.54902,0.25030,0.52615,1.18416,0.24938,0.52258,0.99979,0.25341,0.77446,1.05255,0.27728,0.76743,1.30080,0.26142,0.72512,1.49118,0.25637,0.49982,1.35674,0.30386,0.62782,1.54139,0.09027,0.57737,1.40728,-0.02956,0.55409,1.28180,-0.09375,0.59217,1.23359,-0.03851,0.59435,1.22613,-0.20509,0.60921,1.12436,-0.30330,0.67857,1.10765,-0.27966,0.65573,1.08505,-0.35819,0.61261,1.54464,0.39876,0.57107,1.42471,0.52702,0.55172,1.30139,0.60794,0.59198,1.24843,0.56493,0.56063,1.24566,0.71260,0.56351,1.12790,0.82386,0.63400,1.12102,0.80253,0.59785,1.09215,0.87979,0.73174,0.99298,0.13464,0.70940,0.98892,0.41043,0.53204,1.02516,0.20483,0.52897,1.02607,0.29682,0.66111,0.93422,0.07376,0.67049,0.71592,0.08391,0.63313,0.53552,0.12251,0.59101,0.27603,0.12192,0.59856,0.10205,0.14361,0.53312,0.04650,0.18823,0.82399,0.04980,0.20005,0.73096,0.04373,0.10577,0.64832,0.93087,0.45649,0.63845,0.64376,0.44470,0.62379,0.52967,0.41756,0.58607,0.34783,0.44304,0.59447,0.10142,0.41342,0.52643,0.04930,0.36681,0.82045,0.06036,0.38080,0.70450,0.03795,0.46167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.06000,    7,0.00000,0.66999,1.74453,0.16239,0.73003,1.82218,0.26829,0.65588,1.74643,0.34740,0.78585,1.73517,0.23230,0.58871,1.54901,0.25031,0.52613,1.18415,0.24935,0.52258,0.99976,0.25341,0.77442,1.05253,0.27721,0.76741,1.30079,0.26139,0.72507,1.49116,0.25632,0.49978,1.35673,0.30384,0.62777,1.54137,0.09024,0.57736,1.40729,-0.02958,0.55408,1.28177,-0.09378,0.59219,1.23358,-0.03855,0.59430,1.22612,-0.20511,0.60913,1.12433,-0.30332,0.67852,1.10762,-0.27971,0.65562,1.08503,-0.35821,0.61258,1.54462,0.39875,0.57106,1.42472,0.52701,0.55169,1.30140,0.60795,0.59196,1.24843,0.56494,0.56067,1.24568,0.71265,0.56359,1.12797,0.82390,0.63406,1.12106,0.80255,0.59795,1.09221,0.87982,0.73179,0.99300,0.13459,0.70939,0.98893,0.41041,0.53204,1.02514,0.20479,0.52895,1.02606,0.29680,0.66112,0.93422,0.07372,0.67045,0.71592,0.08388,0.63318,0.53551,0.12250,0.59100,0.27603,0.12191,0.59853,0.10203,0.14363,0.53310,0.04651,0.18825,0.82400,0.04979,0.20006,0.73096,0.04372,0.10577,0.64830,0.93088,0.45647,0.63840,0.64376,0.44467,0.62375,0.52968,0.41754,0.58606,0.34783,0.44305,0.59447,0.10141,0.41346,0.52641,0.04931,0.36683,0.82046,0.06034,0.38078,0.70448,0.03794,0.46167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.07000,    8,0.00000,0.66993,1.74456,0.16242,0.72998,1.82215,0.26836,0.65581,1.74638,0.34744,0.78578,1.73516,0.23231,0.58867,1.54902,0.25029,0.52611,1.18416,0.24931,0.52254,0.99976,0.25336,0.77440,1.05252,0.27718,0.76734,1.30076,0.26137,0.72502,1.49114,0.25632,0.49975,1.35673,0.30384,0.62776,1.54137,0.09022,0.57731,1.40729,-0.02961,0.55405,1.28178,-0.09378,0.59222,1.23356,-0.03861,0.59426,1.22610,-0.20514,0.60909,1.12432,-0.30335,0.67851,1.10764,-0.27974,0.65557,1.08501,-0.35824,0.61255,1.54462,0.39873,0.57106,1.42472,0.52702,0.55168,1.30143,0.60798,0.59188,1.24843,0.56491,0.56072,1.24570,0.71265,0.56365,1.12801,0.82391,0.63413,1.12110,0.80255,0.59805,1.09229,0.87984,0.73169,0.99298,0.13457,0.70933,0.98891,0.41037,0.53199,1.02518,0.20474,0.52891,1.02607,0.29677,0.66107,0.93425,0.07372,0.67042,0.71590,0.08386,0.63314,0.53550,0.12247,0.59101,0.27601,0.12190,0.59854,0.10202,0.14362,0.53311,0.04651,0.18827,0.82399,0.04981,0.20006,0.73096,0.04372,0.10577,0.64829,0.93093,0.45651,0.63839,0.64376,0.44466,0.62376,0.52967,0.41754,0.58606,0.34783,0.44304,0.59448,0.10140,0.41344,0.52642,0.04929,0.36682,0.82046,0.06035,0.38081,0.70449,0.03794,0.46167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.08000,    9,0.00000,0.66987,1.74459,0.16247,0.72993,1.82214,0.26840,0.65574,1.74635,0.34744,0.78573,1.73518,0.23234,0.58863,1.54902,0.25025,0.52608,1.18413,0.24927,0.52252,0.99978,0.25331,0.77438,1.05252,0.27715,0.76730,1.30076,0.26132,0.72496,1.49112,0.25628,0.49969,1.35674,0.30381,0.62771,1.54137,0.09021,0.57731,1.40728,-0.02963,0.55404,1.28179,-0.09381,0.59222,1.23357,-0.03864,0.59421,1.22610,-0.20519,0.60902,1.12430,-0.30338,0.67841,1.10758,-0.27980,0.65544,1.08498,-0.35826,0.61253,1.54462,0.39871,0.57111,1.42474,0.52704,0.55170,1.30144,0.60798,0.59182,1.24844,0.56491,0.56076,1.24573,0.71265,0.56372,1.12805,0.82393,0.63416,1.12112,0.80253,0.59813,1.09235,0.87985,0.73171,0.99299,0.13455,0.70928,0.98893,0.41034,0.53196,1.02520,0.20470,0.52889,1.02608,0.29672,0.66106,0.93423,0.07369,0.67043,0.71590,0.08382,0.63311,0.53553,0.12245,0.59101,0.27601,0.12188,0.59852,0.10203,0.14362,0.53312,0.04651,0.18825,0.82400,0.04979,0.20005,0.73095,0.04372,0.10578,0.64816,0.93085,0.45635,0.63838,0.64376,0.44463,0.62373,0.52968,0.41752,0.58605,0.34783,0.44303,0.59449,0.10139,0.41343,0.52642,0.04930,0.36680,0.82046,0.06035,0.38082,0.70450,0.03794,0.46167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.09000,   10,0.00000,0.66980,1.74460,0.16251,0.72987,1.82214,0.26846,0.65569,1.74632,0.34752,0.78568,1.73517,0.23240,0.58860,1.54901,0.25024,0.52604,1.18413,0.24924,0.52248,0.99978,0.25328,0.77432,1.05251,0.27711,0.76725,1.30075,0.26128,0.72496,1.49112,0.25629,0.49964,1.35675,0.30379,0.62769,1.54136,0.09018,0.57726,1.40728,-0.02965,0.55402,1.28177,-0.09384,0.59224,1.23355,-0.03866,0.59421,1.22610,-0.20521,0.60897,1.12431,-0.30341,0.67837,1.10760,-0.27981,0.65541,1.08495,-0.35831,0.61249,1.54462,0.39870,0.57109,1.42474,0.52704,0.55169,1.30145,0.60799,0.59182,1.24842,0.56490,0.56080,1.24576,0.71264,0.56379,1.12805,0.82396,0.63422,1.12116,0.80252,0.59820,1.09239,0.87986,0.73171,0.99300,0.13450,0.70923,0.98893,0.41028,0.53193,1.02519,0.20467,0.52885,1.02607,0.29670,0.66101,0.93424,0.07365,0.67042,0.71590,0.08380,0.63308,0.53551,0.12243,0.59101,0.27600,0.12187,0.59854,0.10203,0.14362,0.53311,0.04651,0.18827,0.82401,0.04982,0.20006,0.73094,0.04373,0.10578,0.64812,0.93090,0.45634,0.63833,0.64375,0.44462,0.62373,0.52967,0.41750,0.58603,0.34783,0.44301,0.59446,0.10141,0.41344,0.52643,0.04929,0.36682,0.82046,0.06036,0.38082,0.70446,0.03795,0.46169,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.10000,   11,0.00000,0.66975,1.74463,0.16254,0.72985,1.82214,0.26851,0.65562,1.74631,0.34754,0.78566,1.73516,0.23243,0.58858,1.54899,0.25023,0.52598,1.18414,0.24922,0.52245,0.99977,0.25323,0.77432,1.05252,0.27710,0.76718,1.30073,0.26126,0.72492,1.49110,0.25623,0.49958,1.35672,0.30377,0.62764,1.54136,0.09019,0.57721,1.40727,-0.02967,0.55401,1.28177,-0.09387,0.59219,1.23356,-0.03869,0.59417,1.22610,-0.20523,0.60893,1.12429,-0.30345,0.67833,1.10759,-0.27985,0.65538,1.08492,-0.35834,0.61245,1.54461,0.39868,0.57110,1.42475,0.52701,0.55169,1.30145,0.60796,0.59178,1.24842,0.56488,0.56082,1.24576,0.71264,0.56385,1.12808,0.82396,0.63430,1.12119,0.80253,0.59826,1.09240,0.87986,0.73172,0.99300,0.13448,0.70918,0.98892,0.41024,0.53191,1.02521,0.20463,0.52877,1.02606,0.29666,0.66101,0.93423,0.07363,0.67046,0.71591,0.08378,0.63311,0.53550,0.12243,0.59100,0.27600,0.12189,0.59854,0.10203,0.14361,0.53312,0.04650,0.18825,0.82400,0.04981,0.20006,0.73094,0.04373,0.10580,0.64807,0.93091,0.45632,0.63831,0.64376,0.44460,0.62369,0.52966,0.41745,0.58602,0.34783,0.44300,0.59447,0.10139,0.41344,0.52644,0.04927,0.36684,0.82045,0.06036,0.38080,0.70448,0.03795,0.46167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.11000,   12,0.00000,0.66969,1.74465,0.16258,0.72979,1.82213,0.26856,0.65557,1.74625,0.34754,0.78558,1.73519,0.23247,0.58853,1.54899,0.25021,0.52591,1.18415,0.24916,0.52242,0.99978,0.25317,0.77428,1.05252,0.27711,0.76707,1.30070,0.26122,0.72489,1.49109,0.25623,0.49952,1.35673,0.30374,0.62762,1.54139,0.09015,0.57718,1.40727,-0.02967,0.55398,1.28178,-0.09390,0.59214,1.23358,-0.03872,0.59412,1.22613,-0.20527,0.60889,1.12430,-0.30348,0.67825,1.10757,-0.27989,0.65532,1.08491,-0.35836,0.61243,1.54459,0.39865,0.57111,1.42475,0.52700,0.55171,1.30144,0.60796,0.59176,1.24840,0.56485,0.56084,1.24574,0.71262,0.56391,1.12809,0.82395,0.63435,1.12121,0.80253,0.59836,1.09242,0.87986,0.73165,0.99300,0.13448,0.70912,0.98893,0.41024,0.53188,1.02523,0.20454,0.52874,1.02608,0.29661,0.66101,0.93423,0.07362,0.67045,0.71591,0.08375,0.63309,0.53552,0.12237,0.59100,0.27601,0.12185,0.59853,0.10203,0.14359,0.53310,0.04651,0.18823,0.82399,0.04979,0.20005,0.73096,0.04372,0.10579,0.64801,0.93092,0.45626,0.63828,0.64376,0.44456,0.62367,0.52965,0.41742,0.58601,0.34782,0.44297,0.59448,0.10141,0.41342,0.52642,0.04929,0.36681,0.82046,0.06037,0.38082,0.70448,0.03795,0.46166,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.12000,   13,0.00000,0.66964,1.74468,0.16258,0.72973,1.82212,0.26861,0.65550,1.74621,0.34756,0.78555,1.73518,0.23251,0.58851,1.54899,0.25019,0.52587,1.18415,0.24912,0.52244,0.99974,0.25311,0.77422,1.05249,0.27711,0.76698,1.30066,0.26117,0.72487,1.49108,0.25618,0.49950,1.35672,0.30371,0.62758,1.54137,0.09012,0.57717,1.40725,-0.02968,0.55399,1.28176,-0.09392,0.59218,1.23357,-0.03874,0.59409,1.22610,-0.20531,0.60883,1.12424,-0.30350,0.67820,1.10754,-0.27990,0.65523,1.08491,-0.35839,0.61243,1.54456,0.39864,0.57111,1.42473,0.52698,0.55171,1.30139,0.60793,0.59179,1.24838,0.56482,0.56085,1.24572,0.71260,0.56397,1.12808,0.82393,0.63439,1.12119,0.80248,0.59843,1.09242,0.87983,0.73165,0.99299,0.13446,0.70909,0.98893,0.41018,0.53185,1.02521,0.20449,0.52868,1.02606,0.29656,0.66100,0.93422,0.07354,0.67048,0.71590,0.08373,0.63312,0.53551,0.12234,0.59104,0.27598,0.12183,0.59855,0.10202,0.14358,0.53315,0.04648,0.18822,0.82400,0.04979,0.20005,0.73095,0.04371,0.10578,0.64794,0.93089,0.45617,0.63828,0.64376,0.44456,0.62367,0.52965,0.41743,0.58600,0.34783,0.44295,0.59449,0.10140,0.41341,0.52643,0.04929,0.36681,0.82047,0.06037,0.38080,0.70449,0.03794,0.46167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.13000,   14,0.00000,0.66960,1.74470,0.16261,0.72968,1.82211,0.26869,0.65543,1.74618,0.34759,0.78551,1.73519,0.23256,0.58846,1.54898,0.25015,0.52581,1.18414,0.24908,0.52242,0.99973,0.25307,0.77420,1.05250,0.27713,0.76693,1.30066,0.26113,0.72483,1.49106,0.25615,0.49947,1.35671,0.30369,0.62754,1.54137,0.09009,0.57710,1.40725,-0.02970,0.55394,1.28176,-0.09394,0.59210,1.23357,-0.03875,0.59408,1.22606,-0.20530,0.60879,1.12422,-0.30348,0.67810,1.10750,-0.27992,0.65514,1.08489,-0.35842,0.61240,1.54454,0.39860,0.57111,1.42470,0.52694,0.55168,1.30136,0.60791,0.59179,1.24834,0.56479,0.56085,1.24567,0.71256,0.56402,1.12807,0.82392,0.63444,1.12119,0.80245,0.59850,1.09243,0.87982,0.73167,0.99301,0.13447,0.70904,0.98893,0.41018,0.53180,1.02520,0.20443,0.52864,1.02605,0.29649,0.66103,0.93422,0.07351,0.67051,0.71590,0.08370,0.63313,0.53551,0.12237,0.59103,0.27595,0.12182,0.59855,0.10201,0.14358,0.53315,0.04645,0.18824,0.82400,0.04982,0.20006,0.73096,0.04372,0.10580,0.64789,0.93092,0.45618,0.63823,0.64374,0.44455,0.62363,0.52966,0.41742,0.58596,0.34782,0.44295,0.59447,0.10138,0.41342,0.52641,0.04928,0.36681,0.82046,0.06038,0.38080,0.70447,0.03795,0.46166,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.14000,   15,0.00000,0.66955,1.74472,0.16265,0.72961,1.82210,0.26876,0.65536,1.74615,0.34766,0.78547,1.73520,0.23258,0.58844,1.54899,0.25013,0.52577,1.18415,0.24904,0.52232,0.99976,0.25302,0.77417,1.05252,0.27712,0.76688,1.30062,0.26108,0.72478,1.49104,0.25611,0.49943,1.35672,0.30368,0.62751,1.54137,0.09007,0.57704,1.40724,-0.02972,0.55391,1.28176,-0.09396,0.59203,1.23358,-0.03878,0.59404,1.22605,-0.20535,0.60871,1.12418,-0.30352,0.67803,1.10746,-0.27994,0.65505,1.08490,-0.35843,0.61239,1.54454,0.39860,0.57110,1.42469,0.52691,0.55166,1.30133,0.60787,0.59175,1.24831,0.56476,0.56087,1.24566,0.71252,0.56409,1.12806,0.82389,0.63448,1.12118,0.80241,0.59859,1.09241,0.87978,0.73164,0.99302,0.13443,0.70897,0.98895,0.41018,0.53175,1.02518,0.20437,0.52856,1.02605,0.29642,0.66103,0.93421,0.07351,0.67052,0.71589,0.08369,0.63314,0.53552,0.12234,0.59104,0.27598,0.12182,0.59858,0.10202,0.14358,0.53315,0.04649,0.18823,0.82400,0.04981,0.20005,0.73096,0.04373,0.10578,0.64784,0.93093,0.45614,0.63819,0.64377,0.44455,0.62360,0.52967,0.41740,0.58594,0.34782,0.44293,0.59448,0.10140,0.41342,0.52644,0.04929,0.36680,0.82045,0.06039,0.38078,0.70448,0.03796,0.46167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
